symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
1,CK Hutchison Holdings Ltd,HKEX,Retail Trade,Specialty Stores,71.65,72.1,70.2,70.45,-1.674808094905796,274422689511.0,6985669.0,HKD
10,Hang Lung Group Limited,HKEX,Finance,Real Estate Development,13.47,13.66,13.43,13.49,1.2003000750187558,18150371650.0,747000.0,HKD
100,"MiniMax Group, Inc",HKEX,Technology Services,Packaged Software,250.6,280.8,242.0,256.0,-1.7651573292402234,91010725477.0,8769381.0,HKD
1000,Beijing Media Corp. Ltd. Class H,HKEX,Commercial Services,Advertising/Marketing Services,0.54,0.54,0.5,0.5,-7.407407407407414,98655000.0,8500.0,HKD
1001,Hong Kong Shanghai Alliance Holdings Ltd.,HKEX,Non-Energy Minerals,Steel,0.395,0.4,0.395,0.4,1.2658227848101276,254476127.0,26000.0,HKD
1002,V.S. International Group Limited,HKEX,Producer Manufacturing,Miscellaneous Manufacturing,0.048,0.05,0.048,0.05,0.0,138941738.0,220000.0,HKD
1003,Huanxi Media Group Ltd.,HKEX,Consumer Services,Movies/Entertainment,0.197,0.2,0.194,0.2,0.0,876822083.0,720004.0,HKD
1004,China Smarter Energy Group Holdings Limited,HKEX,Consumer Non-Durables,Apparel/Footwear,0.117,0.117,0.117,0.117,0.0,54839954.0,20000.0,HKD
1005,Matrix Holdings Limited,HKEX,Consumer Durables,Recreational Products,0.47,0.47,0.47,0.47,27.027027027027025,294919279.0,50000.0,HKD
1008,Litu Holdings Limited,HKEX,Process Industries,Containers/Packaging,0.17,0.17,0.17,0.17,0.0,266540392.0,54000.0,HKD
1009,International Entertainment Corporation,HKEX,Finance,Finance/Rental/Leasing,1.47,1.47,1.45,1.45,0.0,1985278044.0,56000.0,HKD
101,Hang Lung Properties Limited,HKEX,Finance,Real Estate Development,7.4,7.58,7.4,7.58,2.7100271002710055,38398749590.0,10167601.0,HKD
1010,Sky Blue 11 Company Limited,HKEX,Distribution Services,Wholesale Distributors,0.051,0.051,0.043,0.043,-6.521739130434788,20437531.0,8000.0,HKD
