symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
AADI,Pt Adaro Andalan Indonesia Tbk,IDX,Energy Minerals,Coal,9200,9250,9150,9175,0.0,71444734924316.0,4809100,IDR
AALI,PT Astra Agro Lestari Tbk,IDX,Process Industries,Agricultural Commodities/Milling,7350,7375,7200,7200,-1.7064846416382253,14098342196655.0,1422900,IDR
ABDA,PT Asuransi Bina Dana Arta Tbk Class A,IDX,Finance,Property/Casualty Insurance,3830,3850,3820,3840,0.26109660574412535,2377689433594.0,5200,IDR
ABMM,PT ABM Investama Tbk,IDX,Energy Minerals,Coal,2710,2730,2680,2690,0.3731343283582089,7378482304688.0,327300,IDR
ACES,PT Aspirasi Hidup Indonesia Tbk,IDX,Retail Trade,Home Improvement Chains,358,360,350,352,-1.675977653631285,6118498988281.0,32202500,IDR
ACRO,PT Samcro Hyosung Adilestari Tbk Class A,IDX,Process Industries,Textiles,62,62,61,61,-1.6129032258064515,215099418457.0,3490100,IDR
ACST,PT Acset Indonusa Tbk,IDX,Industrial Services,Engineering & Construction,84,86,84,86,2.380952380952381,1484713453125.0,438400,IDR
ADES,PT Akasha Wira International Tbk,IDX,Consumer Non-Durables,Beverages: Non-Alcoholic,32975,33000,32975,33000,-5.714285714285714,20646387634277.0,37700,IDR
ADHI,PT Adhi Karya (Persero) Tbk,IDX,Industrial Services,Engineering & Construction,147,149,146,148,-0.6711409395973155,1252733797024.0,17745300,IDR
ADMF,PT Adira Dinamika Multi Finance Tbk,IDX,Finance,Finance/Rental/Leasing,8725,8725,8575,8650,-0.8595988538681949,10782382052612.0,53300,IDR
ADMG,PT Polychem Indonesia Tbk,IDX,Process Industries,Textiles,246,270,246,266,9.917355371900827,941181484375.0,6328200,IDR
ADMR,PT Alamtri Minerals Indonesia Tbk,IDX,Energy Minerals,Coal,1620,1630,1575,1595,-1.5432098765432098,66229377890625.0,19879500,IDR
ADRO,PT Alamtri Resources Indonesia Tbk,IDX,Energy Minerals,Coal,2530,2550,2520,2530,-0.39370078740157477,70035921054688.01,18267400,IDR
AEGS,PT Anugerah Spareparts Sejahtera Tbk,IDX,Producer Manufacturing,Auto Parts: OEM,42,43,41,42,0.0,,1991600,IDR
