symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
786,786 Investments Limited,PSX,Finance,Investment Managers,14.2,14.2,12.6,13.16,-5.999999999999999,,454676,PKR
AABS,Al-Abbas Sugar Mills Ltd.,PSX,Process Industries,Chemicals: Specialty,1035.02,1053.0,1012.0,1045.55,-0.7715815048212084,18294310116.0,397,PKR
AATM,Ali Asghar Textile Mills Limited,PSX,Process Industries,Textiles,49.52,51.5,48.5,50.07,-1.7657445556209506,,8168,PKR
ABL,Allied Bank Limited,PSX,Finance,Major Banks,188.0,189.95,184.5,186.17,0.9982097325448787,211071442834.0,362558,PKR
ABOT,Abbott Laboratories Pakistan Limited,PSX,Health Technology,Pharmaceuticals: Major,1290.0,1299.45,1261.07,1269.97,-2.269404214058148,127217528722.0,4108,PKR
ACPL,Attock Cement Pakistan Limited,PSX,Non-Energy Minerals,Construction Materials,306.05,313.15,302.5,307.75,0.6771787490185792,42008670958.0,1174542,PKR
ADAMS,Adam Sugar Mills Limited,PSX,Process Industries,Agricultural Commodities/Milling,74.39,77.45,68.23,73.12,-1.109007303218817,1278497173.0,7807,PKR
ADMM,Artistic Denim Mills Limited,PSX,Consumer Non-Durables,Apparel/Footwear,52.15,52.15,51.03,51.84,-0.632547441058076,4382279846.0,27356,PKR
AGHA,Agha Steel Industries Ltd.,PSX,Non-Energy Minerals,Steel,9.62,9.7,9.25,9.41,-2.182952182952173,5818935980.0,3611706,PKR
AGIC,Askari General Insurance Co. Ltd.,PSX,Finance,Property/Casualty Insurance,47.75,47.99,45.25,46.38,-1.841269841269836,,36061,PKR
AGIL,Agriauto Industries Limited,PSX,Producer Manufacturing,Auto Parts: OEM,142.2,143.0,140.55,140.84,-1.3241785188817954,5138279846.0,58036,PKR
AGL,Agritech Limited,PSX,Process Industries,Chemicals: Agricultural,73.6,76.8,73.5,76.08,1.3589128697042314,44967260730.0,632214,PKR
AGP,AGP Limited,PSX,Health Technology,Pharmaceuticals: Major,197.0,199.0,196.05,196.28,-0.9137260841031866,55465198975.0,76996,PKR
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,PSX,Process Industries,Agricultural Commodities/Milling,9.31,9.59,9.05,9.13,-2.768903088391904,,131096,PKR
AGTL,Al-Ghazi Tractors Ltd.,PSX,Producer Manufacturing,Trucks/Construction/Farm Machinery,384.0,394.99,383.11,389.94,1.6554133319429658,22234486908.0,27987,PKR
AHCL,Arif Habib Corporation Limited,PSX,Utilities,Alternative Power Generation,16.99,17.19,16.5,16.78,-1.5835777126099682,71865188996.0,14447995,PKR
AHL,Arif Habib Limited,PSX,Finance,Investment Banks/Brokers,130.7,130.7,125.99,128.43,-0.3800806701830443,8423632208.000001,115239,PKR
AHTM,Ahmed Hassan Textile Mills Ltd.,PSX,Process Industries,Agricultural Commodities/Milling,93.13,99.0,83.82,85.96,-7.698915494470097,788954006.0,6477,PKR
AICL,Adamjee Insurance Co. Limited,PSX,Finance,Multi-Line Insurance,82.9,87.22,82.85,87.22,10.001261193088652,27751500320.0,3611811,PKR
AIRLINK,Air Link Communication Ltd.,PSX,Distribution Services,Electronics Distributors,167.28,169.3,163.2,165.26,-1.2075561932089969,66120635655.00001,2692172,PKR
AKBL,Askari Bank Limited,PSX,Finance,Major Banks,89.0,89.99,86.3,87.59,-1.5842696629213444,128987628296.0,1547353,PKR
AKDHL,AKD Hospitality Limited,PSX,Finance,Real Estate Development,168.01,173.99,168.01,171.48,-1.6743119266055138,437268389.0,1280,PKR
AKDSL,AKD Securities Limited,PSX,Finance,Investment Banks/Brokers,38.35,40.05,37.7,38.58,2.8251599147121405,20929938219.0,2816640,PKR
AKGL,Al-Khair Gadoon Limited,PSX,Process Industries,Industrial Specialties,58.0,58.0,58.0,58.0,0.0,,2,PKR
ALAC,Askari Life Assurance Co. Ltd.,PSX,Finance,Life/Health Insurance,14.2,14.39,13.81,13.96,-1.2031139419674446,,1664918,PKR
ALIFE,Adamjee Life Assurance Company Limited,PSX,Finance,Life/Health Insurance,36.25,36.25,34.0,35.5,-1.3888888888888888,9450000000.0,28951,PKR
