symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
1A0,Katrina Group Ltd.,SGX,Consumer Services,Restaurants,0.039,0.041,0.039,0.039,2.6315789473684235,9570440.0,902200,SGD
1A1,Wong Fong Industries Limited,SGX,Distribution Services,Wholesale Distributors,0.18,0.183,0.18,0.183,1.6666666666666683,42300002.0,11500,SGD
1AZ,Audience Analytics Limited,SGX,Commercial Services,Miscellaneous Commercial Services,0.265,0.265,0.26,0.26,-1.8867924528301903,59785146.2,2200,SGD
1B0,mm2 Asia Ltd.,SGX,Consumer Services,Movies/Entertainment,0.002,0.003,0.002,0.003,0.0,19606934.0,605000,SGD
1B1,HC Surgical Specialists Ltd,SGX,Health Services,Medical/Nursing Services,0.37,0.37,0.365,0.365,-2.6666666666666687,57677439.0,70200,SGD
1B6,Ocean Sky International Limited,SGX,Industrial Services,Engineering & Construction,0.035,0.035,0.034,0.034,-2.8571428571428594,14640751.0,200000,SGD
1D0,Kimly Ltd.,SGX,Consumer Services,Restaurants,0.365,0.37,0.36,0.37,0.0,460335379.0,638300,SGD
1D1,UnUsUal Ltd.,SGX,Commercial Services,Miscellaneous Commercial Services,0.075,0.075,0.064,0.065,-14.473684210526311,78217626.0,2141400,SGD
1D3,Autagco Ltd.,SGX,Consumer Services,Restaurants,0.002,0.003,0.002,0.003,0.0,7821022.0,38065400,SGD
1D4,Aoxin Q&M Dental Group Ltd.,SGX,Health Services,Medical/Nursing Services,0.06,0.06,0.058,0.058,-1.694915254237278,30179802.0,300000,SGD
1D5,Capital World Ltd.,SGX,Non-Energy Minerals,Construction Materials,0.001,0.001,0.001,0.001,0.0,16099981.0,3025100,SGD
1E3,Sanli Environmental Ltd.,SGX,Industrial Services,Engineering & Construction,0.29,0.29,0.28,0.285,-1.7241379310344844,86536128.0,1734400,SGD
1F0,Shopper360 Ltd.,SGX,Commercial Services,Miscellaneous Commercial Services,0.063,0.071,0.063,0.071,16.39344262295081,7725056.0,314000,SGD
