symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
10X,Exultant Mining Ltd.,ASX,Non-Energy Minerals,Other Metals/Minerals,0.2,0.2,0.2,0.2,-2.4390243902438913,7667000.0,14609.0,AUD
14D,1414 Degrees Ltd.,ASX,Producer Manufacturing,Building Products,0.064,0.07,0.063,0.069,7.812500000000007,42936928.0,30424632.0,AUD
1AD,AdAlta Ltd.,ASX,Health Technology,Biotechnology,0.003,0.003,0.003,0.003,-25.0,12848676.0,27214.0,AUD
1AE,Aurora Energy Metals Limited,ASX,Non-Energy Minerals,Other Metals/Minerals,0.051,0.051,0.047,0.048,0.0,8595059.0,490468.0,AUD
1AI,Algorae Pharmaceuticals Limited,ASX,Health Technology,Pharmaceuticals: Other,0.013,0.013,0.012,0.012,-7.692307692307685,26358424.0,258077.0,AUD
1CG,One Click Group Limited,ASX,Technology Services,Packaged Software,0.01,0.01,0.01,0.01,-9.090909090909085,14380147.0,3016802.0,AUD
1GOV,Vaneck 1-5 Year Australian Government Bond ETF Exchange Traded Fund Units,ASX,Miscellaneous,Investment Trusts/Mutual Funds,51.24,51.24,51.24,51.24,0.05858230814294305,,5.0,AUD
1MC,Morella Corporation Limited,ASX,Non-Energy Minerals,Other Metals/Minerals,0.026,0.027,0.025,0.027,7.999999999999993,11043860.0,251327.0,AUD
1TT,Thrive Tribe Technologies Limited,ASX,Technology Services,Packaged Software,0.002,0.002,0.002,0.002,0.0,9506572.0,115506.0,AUD
28BB,Betashares 2028 Corporate Bond Active ETF Exchange Traded Fund Units,ASX,,,24.86,24.86,24.84,24.84,0.12091898428053663,,1602.0,AUD
29BB,Betashares 2029 Corporate Bond Active ETF Exchange Traded Fund Units,ASX,,,24.66,24.66,24.66,24.66,-0.2023472278429814,,2000.0,AUD
29M,29Metals Limited,ASX,Non-Energy Minerals,Other Metals/Minerals,0.24,0.27,0.237,0.26,10.638297872340436,410613560.0,8181290.0,AUD
30BB,Betashares 2030 Corporate Bond Active ETF Exchnage Traded Fund Units,ASX,,,24.59,24.6,24.59,24.6,0.24449877750612176,,947.0,AUD
31BB,Betashares 2031 Fixed Term Corp Bond Active ETF,ASX,Miscellaneous,Investment Trusts/Mutual Funds,25.33,25.33,25.29,25.29,-0.157915515199365,,876.0,AUD
360,"Life360, Inc. Shs Chess Depository Interests Repr 3 Sh",ASX,Technology Services,Packaged Software,24.95,24.95,23.75,24.12,-5.448843590748728,6031844664.291743,1130978.0,AUD
3DA,Amaero Inc. CDI,ASX,Producer Manufacturing,Metal Fabrication,0.265,0.28,0.26,0.28,7.692307692307699,247865065.0,668793.0,AUD
3DP,Pointerra Ltd.,ASX,Technology Services,Information Technology Services,0.029,0.03,0.027,0.03,0.0,24560304.0,346455.0,AUD
3PL,3P Learning Ltd.,ASX,Technology Services,Packaged Software,0.31,0.31,0.31,0.31,-1.5873015873015885,84601023.0,62917.0,AUD
49M,49 Metals Limited,ASX,Non-Energy Minerals,Precious Metals,0.085,0.091,0.085,0.091,7.058823529411754,7483536.0,162911.0,AUD
4DX,4DMedical Ltd.,ASX,Technology Services,Information Technology Services,3.39,3.46,3.24,3.24,-4.424778761061944,2032775638.0,2878126.0,AUD
5GG,Pentanet Ltd,ASX,Technology Services,Internet Software/Services,0.015,0.015,0.014,0.014,-6.666666666666661,6497575.0,691461.0,AUD
5GN,5G Networks Limited,ASX,Technology Services,Data Processing Services,0.055,0.055,0.054,0.055,1.8518518518518534,14261422.0,104043.0,AUD
5GOV,Vaneck 5-10 Year Australian Government Bond ETF,ASX,Miscellaneous,Investment Trusts/Mutual Funds,51.65,51.68,51.5,51.5,-0.25179159403448104,,267.0,AUD
6KA,"6K Additive, Inc. Shs Chess Depository Interest Repr 1 Sh",ASX,Non-Energy Minerals,Other Metals/Minerals,0.685,0.685,0.665,0.67,-2.189781021897812,180405623.92499998,61473.0,AUD
88E,88 Energy Limited,ASX,Energy Minerals,Integrated Oil,0.019,0.02,0.019,0.019,0.0,25288106.0,1110853.0,AUD
8CO,8Common Ltd,ASX,Technology Services,Information Technology Services,0.04,0.04,0.04,0.04,0.0,8963796.0,14190.0,AUD
8IH,8I Holdings Ltd. Chess Depository Interests repr 1 shs,ASX,Miscellaneous,Miscellaneous,0.013,0.013,0.013,0.013,0.0,4526091.0,277590.0,AUD
A11,Atlantic Lithium Limited.,ASX,Non-Energy Minerals,Steel,0.3,0.3,0.295,0.295,-1.6666666666666683,236101584.9879108,288215.0,AUD
A1M,AIC Mines Limited,ASX,Non-Energy Minerals,Other Metals/Minerals,0.695,0.705,0.675,0.68,-1.449275362318826,550357668.0,1806593.0,AUD
A1N,ARN Media Limited,ASX,Consumer Services,Broadcasting,0.25,0.25,0.25,0.25,-3.8461538461538494,81116307.0,4642.0,AUD
A200,BetaShares Australia 200 ETF,ASX,Miscellaneous,Investment Trusts/Mutual Funds,148.17,148.91,147.43,147.46,0.24473147518695695,,124488.0,AUD
A2M,a2 Milk Company Limited,ASX,Consumer Non-Durables,Food: Meat/Fish/Dairy,7.03,7.1,6.9,6.93,-0.8583690987124535,5145549323.574616,1570098.0,AUD
A300,Global X Australia 300 ETF Exchnage Traded Fund Units,ASX,Miscellaneous,Investment Trusts/Mutual Funds,51.85,51.9,51.56,51.56,0.5068226120857799,,42.0,AUD
A3D,Aurora Labs Ltd.,ASX,Producer Manufacturing,Industrial Machinery,0.044,0.044,0.044,0.044,0.0,23039264.0,25000.0,AUD
A4N,Alpha HPA Limited,ASX,Non-Energy Minerals,Other Metals/Minerals,0.55,0.562,0.53,0.545,0.0,791283542.0,4576096.0,AUD
A8G,Australasian Metals Limited,ASX,Non-Energy Minerals,Precious Metals,0.11,0.11,0.11,0.11,0.0,6367870.0,900.0,AUD
AA2,Ariana Resources PLC Shs CHESS DEPOSITARY INTERESTS 1:10,ASX,Non-Energy Minerals,Precious Metals,0.3,0.31,0.3,0.31,10.714285714285703,86212700.76111993,37247.0,AUD
AAA,BetaShares Australian High Interest Cash ETF Units,ASX,Miscellaneous,Investment Trusts/Mutual Funds,50.2,50.21,50.2,50.2,0.039856516540460594,,353439.0,AUD
AAC,Australian Agricultural Company Limited,ASX,Consumer Non-Durables,Food: Meat/Fish/Dairy,1.37,1.385,1.37,1.375,0.3649635036496272,825438298.0,90978.0,AUD
AAI,Alcoa Corporation shs Chess Depository Interests Repr 1 Sh,ASX,Non-Energy Minerals,Aluminum,66.89,67.24,66.005,66.11,3.523332289383026,17431210320.900753,163805.0,AUD
AAJ,Aruma Resources Limited,ASX,Non-Energy Minerals,Precious Metals,0.008,0.009,0.008,0.008,0.0,5870147.0,3783629.0,AUD
AAL,Alfabs Australia Ltd.,ASX,Producer Manufacturing,Trucks/Construction/Farm Machinery,0.245,0.25,0.235,0.235,-4.081632653061228,70315510.0,161362.0,AUD
AAM,AuMega Metals Ltd,ASX,Non-Energy Minerals,Precious Metals,0.037,0.037,0.033,0.033,3.1250000000000027,46576233.0,51373.0,AUD
AAP,Australian Agricultural Projects Ltd.,ASX,Consumer Non-Durables,Food: Specialty/Candy,0.068,0.068,0.068,0.068,1.492537313432837,24696450.0,1131.0,AUD
AAR,Astral Resources NL,ASX,Non-Energy Minerals,Precious Metals,0.135,0.14,0.13,0.14,7.692307692307699,234135926.0,8543428.0,AUD
AASF,Airlie Australian Share Fund - Active ETF,ASX,Miscellaneous,Investment Trusts/Mutual Funds,3.83,3.84,3.8,3.8,-0.2624671916010559,,28759.0,AUD
AAU,Antilles Gold Ltd,ASX,Non-Energy Minerals,Precious Metals,0.006,0.007,0.006,0.007,16.666666666666664,19674560.0,1692406.0,AUD
ABB,Aussie Broadband Ltd.,ASX,Communications,Specialty Telecommunications,4.83,4.9,4.7,4.73,-1.2526096033402843,1510885826.0,956952.0,AUD
ABE,Australian Bond Exchange Holdings Ltd.,ASX,Finance,Investment Banks/Brokers,0.012,0.012,0.011,0.011,-8.333333333333341,1976085.0,174413.0,AUD
ABG,Abacus Group,ASX,Finance,Real Estate Investment Trusts,0.925,0.935,0.922,0.925,0.0,826633340.0,731605.0,AUD
ABR,Albright Metals Ltd,ASX,Non-Energy Minerals,Precious Metals,0.003,0.003,0.003,0.003,0.0,4661367.0,28056.0,AUD
ABV,Advanced Braking Technology Limited,ASX,Producer Manufacturing,Auto Parts: OEM,0.105,0.11,0.1,0.11,4.761904761904766,41786980.0,106289.0,AUD
ABX,ABx Group Limited,ASX,Non-Energy Minerals,Other Metals/Minerals,0.045,0.045,0.043,0.044,-2.2222222222222245,16871308.0,126435.0,AUD
ABY,Adore Beauty Group Ltd.,ASX,Retail Trade,Specialty Stores,0.295,0.3,0.28,0.29,5.454545454545439,25838432.0,24537.0,AUD
