symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
1DIV,ThaiDEX SET High Dividend ETF,SET,Miscellaneous,Investment Trusts/Mutual Funds,11.21,11.29,11.21,11.28,0.714285714285715,,6477,THB
1I01BSET50,BCAP Set 50 Daily Invest ETF (-1X),SET,Miscellaneous,Investment Trusts/Mutual Funds,4.8,4.8,4.76,4.76,-0.8333333333333341,,4000,THB
24CS,Twenty-Four Con & Supply PCL,SET,Distribution Services,Wholesale Distributors,1.55,1.66,1.53,1.55,1.3071895424836613,742050000.0,60138685,THB
24CS.R,Twenty-Four Con & Supply PCL NVDR,SET,Distribution Services,Wholesale Distributors,1.55,1.66,1.53,1.55,1.3071895424836613,742050000.0,60138500,THB
2I01BSET50,BCAP Set 50 Daily Inverse ETF (-2X),SET,Miscellaneous,Investment Trusts/Mutual Funds,4.59,4.61,4.51,4.53,-2.3706896551724017,,1293246,THB
2S,2S Metal Public Co. Ltd.,SET,Non-Energy Minerals,Steel,2.66,2.66,2.62,2.62,-1.5037593984962419,1462997125.0,26638,THB
2S.F,2S Metal Public Co. Ltd.(Alien Mkt),SET,Non-Energy Minerals,Steel,1.9,1.9,1.9,1.9,9.99998263158168,1462997125.0,0,THB
2S.R,2S Metal Public Co. Ltd. NVDR,SET,Non-Energy Minerals,Steel,2.66,2.66,2.62,2.62,-1.5037593984962419,1462997125.0,26600,THB
2X01BSET50,BCAP Set 50 Daily Leveraged ETF (2X),SET,Miscellaneous,Investment Trusts/Mutual Funds,5.34,5.44,5.32,5.4,2.2727272727272747,,759549,THB
3BBIF,3Bb Internet Infrastructure Fund Units,SET,Miscellaneous,Investment Trusts/Mutual Funds,6.65,6.65,6.6,6.6,0.0,52800000000.0,4703372,THB
3BBIF.F,3Bb Internet Infrastructure Fund (Alien Mkt),SET,Miscellaneous,Investment Trusts/Mutual Funds,6.55,7.5,6.55,7.5,7.913669064748198,,1700,THB
88TH,88(Thailand) Public Company Limited,SET,Consumer Non-Durables,Household/Personal Care,5.7,5.7,5.45,5.5,-3.5087719298245648,1211250000.0,3609350,THB
88TH.R,88(Thailand) Public Company Limited NVDR,SET,Consumer Non-Durables,Household/Personal Care,5.7,5.7,5.45,5.5,-3.5087719298245648,,3575900,THB
A,Areeya Property Public Co. Ltd.,SET,Finance,Real Estate Development,4.84,4.84,4.84,4.84,0.0,4743200150.0,200,THB
A.F,Areeya Property Public Co. Ltd. (Alien Mkt),SET,Finance,Real Estate Development,3.0,3.0,3.0,3.0,0.0,4743200150.0,0,THB
