symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
A32,32 JSC,UPCOM,Consumer Non-Durables,Apparel/Footwear,34600,34600,31000,31000,0.0,210800000000.0,316,VND
AAA,An Phat Plastic and Green Environment Joint Stock Company,HOSE,Process Industries,Containers/Packaging,7250,7280,7120,7120,-1.7931034482758619,2854634620667.0,418775,VND
AAH,Hop Nhat Joint Stock Company,UPCOM,,,2400,2600,2400,2500,4.166666666666666,,933269,VND
AAM,Mekong Fisheries JSC,HOSE,Consumer Non-Durables,Food: Meat/Fish/Dairy,6780,6950,6780,6910,3.288490284005979,69918403645.0,17414,VND
AAN,A An Food Joint Stock Company,HOSE,Process Industries,Agricultural Commodities/Milling,15700,15700,15550,15600,-0.3194888178913738,1434322500000.0,99940,VND
AAS,SmartInvest Securities Joint Stock Co,UPCOM,Finance,Investment Banks/Brokers,8400,8400,8100,8200,-2.380952380952381,1931995976400.0,1273330,VND
AAT,Tien Son Thanh Hoa Group Joint Stock Company,HOSE,Consumer Durables,Home Furnishings,2700,2700,2640,2650,-2.5735294117647056,192627950439.0,8079,VND
AAV,AAV Group JSC,UPCOM,Finance,Real Estate Development,6800,6800,6600,6800,0.0,462217343903.0,235525,VND
ABB,An Binh Commercial Joint Stock Bank,UPCOM,Finance,Regional Banks,17000,17000,16800,17000,0.0,20234973623874.9,782448,VND
ABC,VMG Media JSC,UPCOM,Communications,Specialty Telecommunications,10200,10300,10100,10200,2.0,203850000000.0,8450,VND
ABI,Agriculture Bank Insurance JSC,UPCOM,Finance,Insurance Brokers/Services,19300,19300,18900,19100,-1.0362694300518136,1956016400000.0,17196,VND
ABR,Viet Brand Invest Joint Stock Co,HOSE,Communications,Major Telecommunications,11200,11200,11200,11200,-0.8849557522123894,224000000000.0,300,VND
ABS,Binh Thuan Agriculture Services JSC,HOSE,Distribution Services,Wholesale Distributors,3480,3480,3210,3210,-6.956521739130435,276000000000.0,1023078,VND
ABT,Bentre Aquaproduct Import and Exporrt Joint Stock Company,HOSE,Consumer Non-Durables,Food: Meat/Fish/Dairy,51000,51300,50000,51300,1.9880715705765408,592396025372.0,11005,VND
ABW,An Binh Securities Joint Stock Company,UPCOM,,,13700,14000,13600,13800,0.0,,172388,VND
ACB,Asia Commercial Joint Stock Bank,HOSE,Finance,Major Banks,22850,23300,22750,23100,1.0940919037199124,132631039843750.0,23705332,VND
ACC,ACC Binh Duong Investment & Construction JSC,HOSE,Industrial Services,Engineering & Construction,8630,8630,8630,8630,-6.903991370010787,973349929276.0,11125,VND
ACE,An Giang Centrifugal Concrete Joint Stock Company,UPCOM,Non-Energy Minerals,Construction Materials,35700,36500,35700,36500,0.5509641873278237,110743350300.0,6000,VND
ACG,An Cuong Wood - Working Joint Stock Co,HOSE,Non-Energy Minerals,Forest Products,32500,33700,32500,33700,4.012345679012346,4885218566895.0,200,VND
ACL,Cuulong Fish JSC,HOSE,Process Industries,Agricultural Commodities/Milling,12200,13050,12200,12850,0.7843137254901961,639527498245.0,6487,VND
ACM,A Cuong Mineral Group JSC,UPCOM,Non-Energy Minerals,Other Metals/Minerals,600,600,500,600,0.0,30600000000.0,54033,VND
ACS,Architects & Construction Service Corporation,UPCOM,,,5800,5800,5800,5800,9.433962264150944,,770,VND
ACV,Airports Corporation of Vietnam,UPCOM,Transportation,Other Transportation,42800,42800,42200,42400,-0.9345794392523363,153344941030749.0,291312,VND
ADG,Clever Group Corporation,HOSE,Commercial Services,Advertising/Marketing Services,8500,8500,8500,8500,0.0,180979631424.0,1300,VND
ADP,A Dong Paint JSC,HOSE,Process Industries,Industrial Specialties,22650,23200,22650,23150,0.43383947939262474,531068547916.0,988,VND
ADS,Damsan Joint Stock Company,HOSE,Process Industries,Textiles,7500,7780,7500,7650,0.6578947368421052,580599945068.0,97357,VND
AFX,An Giang Agriculture and Food Import - Export Joint Stock Co,HOSE,Process Industries,Agricultural Commodities/Milling,10100,10100,10000,10100,0.0,,82610,VND
AG1,28.1 JSC,UPCOM,,,10900,10900,10800,10800,0.0,,5100,VND
AGF,An Giang Fisheries Import & Export JSC,UPCOM,Consumer Non-Durables,Food: Meat/Fish/Dairy,2000,2000,2000,2000,5.263157894736842,56219400000.0,600,VND
AGG,An Gia Real Estate Investment and Development JSC,HOSE,Finance,Real Estate Development,11400,11400,11200,11400,-0.43668122270742354,1860946472168.0,276182,VND
