symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
AAB,Aalborg Boldspilklub A/S,OMXCOP,Consumer Services,Movies/Entertainment,30.4,31.4,30.4,31.4,2.614379084967311,82417185.0,135,DKK
AGAT,Agat Ejendomme A/S,OMXCOP,Finance,Real Estate Development,1.2,1.22,1.2,1.22,1.6666666666666683,141340005.0,91764,DKK
AGF_B,AGF A/S Class B,OMXCOP,Consumer Durables,Recreational Products,0.814,0.82,0.802,0.802,-1.474201474201462,439560023.0,32973,DKK
AGILC,Agillic A/S,OMXCOP,Technology Services,Packaged Software,7.35,7.35,7.35,7.35,0.6849315068493127,80752639.0,1890,DKK
ALEFRM,Alefarm Brewing A/S,OMXCOP,Consumer Non-Durables,Beverages: Alcoholic,1.36,1.41,1.33,1.35,-2.173913043478247,19526999.0,3500,DKK
ALK_B,ALK-abello A/S Class B,OMXCOP,Health Technology,Biotechnology,209.0,211.0,205.2,206.4,-0.7692307692307665,46303097223.0,104019,DKK
ALMB,Alm. Brand A/S,OMXCOP,Finance,Multi-Line Insurance,17.75,17.81,17.11,17.11,-3.8764044943820295,25856261074.0,2186054,DKK
AMBU_B,Ambu A/S Class B,OMXCOP,Health Technology,Medical Specialties,102.7,104.3,102.2,103.4,2.1739130434782634,26850173181.0,1108803,DKK
AOJ_B,Brdr A & O Johansen A/S Class B,OMXCOP,Distribution Services,Wholesale Distributors,95.2,96.4,94.3,95.9,0.7352941176470618,2657756279.0,23520,DKK
AQP,Aquaporin A/S,OMXCOP,Producer Manufacturing,Industrial Machinery,6.98,6.98,6.28,6.98,1.1594202898550736,160501124.0,21795,DKK
ARAOPT,Investeringsselskabet Artha Optimum A/S Bearer and/or registered,OMXCOP,Finance,Financial Conglomerates,6289.0,6289.0,6289.0,6289.0,0.04772510340439071,,6,DKK
ASTK,Asetek A/S,OMXCOP,Industrial Services,Engineering & Construction,0.75,0.79,0.742,0.79,5.3333333333333375,237737366.0,320148,DKK
ATLA_DKK,Atlantic Petroleum P/F,OMXCOP,Energy Minerals,Integrated Oil,2.49,2.5,2.4,2.47,-0.8032128514056232,9207671.0,7074,DKK
BACTIQ,BactiQuant A/S,OMXCOP,Electronic Technology,Aerospace & Defense,2.325,2.56,2.3,2.405,1.4767932489451348,69611292.0,27120,DKK
BAIKDKOAKA,BankInvest - Korte Danske Obligationer Akkumulerende KL Accum A DKK,OMXCOP,Miscellaneous,Investment Trusts/Mutual Funds,130.55,130.55,130.55,130.55,0.0,,2160,DKK
BAVA,Bavarian Nordic A/S,OMXCOP,Health Technology,Pharmaceuticals: Major,228.6,229.7,227.4,229.1,0.21872265966754156,18088908566.0,141531,DKK
BETCO_DKK,Better Collective A/S,OMXCOP,Commercial Services,Miscellaneous Commercial Services,81.6,83.05,81.35,82.95,1.2202562538133006,5010560135.988521,29214,DKK
BIF,Brondbyernes IF Fodbold A/S Class B,OMXCOP,Consumer Services,Movies/Entertainment,0.329,0.329,0.312,0.32,-2.7355623100303976,375278954.0,1109980,DKK
BIOPOR,BioPorto A/S,OMXCOP,Health Technology,Medical Specialties,1.328,1.344,1.304,1.308,-1.5060240963855434,603785152.0,295670,DKK
BO,Bang & Olufsen A/S,OMXCOP,Consumer Durables,Electronics/Appliances,12.82,13.22,12.82,13.02,0.6182380216383313,1864356068.0,134911,DKK
BOOZT_DKK,Boozt AB,OMXCOP,Retail Trade,Catalog/Specialty Distribution,66.3,67.9,65.9,65.9,0.7645259938837919,4076768325.0191326,38103,DKK
BRAINP,Brain+ A/S,OMXCOP,Technology Services,Packaged Software,0.0138,0.0138,0.0128,0.0132,1.5384615384615425,14728207.0,6540928,DKK
CARL_A,Carlsberg AS Class A,OMXCOP,Consumer Non-Durables,Beverages: Alcoholic,896.0,928.0,894.0,926.0,3.3482142857142856,103078852939.0,868,DKK
CARL_B,Carlsberg AS Class B,OMXCOP,Consumer Non-Durables,Beverages: Alcoholic,756.4,766.8,755.2,756.4,0.6118648576749166,103078852939.0,300812,DKK
CBRAIN,cBrain A/S,OMXCOP,Technology Services,Packaged Software,186.4,190.2,184.2,187.4,1.187904967602601,3622297777.0,16550,DKK
CEMAT,Cemat A/S,OMXCOP,Finance,Real Estate Development,0.954,0.972,0.954,0.972,0.6211180124223609,241355391.0,17233,DKK
CHEMM,ChemoMetec A/S,OMXCOP,Health Technology,Medical Specialties,655.5,662.5,645.5,654.0,0.8481110254433308,11285508980.0,48427,DKK
COLO_B,Coloplast A/S Class B,OMXCOP,Health Technology,Medical Specialties,568.8,573.6,563.6,573.6,2.8694404591104736,125460360364.0,310303,DKK
COLUM,Columbus A/S,OMXCOP,Commercial Services,Miscellaneous Commercial Services,10.2,10.3,10.0,10.3,0.4878048780487874,1325081669.0,55436,DKK
CPHCAP_PREF32,Copenhagen Capital A/S Pref Bearer and/or registered Shs A,OMXCOP,Finance,Real Estate Development,8.4,8.4,8.4,8.4,0.5988023952095893,316178428.0,4,DKK
CPHCAP_ST,Copenhagen Capital A/S,OMXCOP,Finance,Real Estate Development,6.5,6.5,6.5,6.5,0.7751937984496096,316178428.0,4874,DKK
CWIGAEKLUDL,C WorldWide - Globale Aktier Etik KL Udl ETF,OMXCOP,Miscellaneous,Investment Trusts/Mutual Funds,99.98,100.55,99.82,100.15,1.2639029322548028,,1288,DKK
DAB,Danske Andelskassers Bank A/S,OMXCOP,Finance,Regional Banks,15.0,15.15,14.8,15.15,1.6778523489932886,3302168990.0,14735,DKK
DAC,Danish Aerospace Company AS,OMXCOP,Electronic Technology,Aerospace & Defense,10.8,10.8,10.5,10.7,1.904761904761898,115320156.0,41617,DKK
DANSKE,Danske Bank A/S,OMXCOP,Finance,Major Banks,275.0,275.2,264.5,265.4,-3.279883381924199,223279479360.0,1070566,DKK
DANT,Dantax A/S,OMXCOP,Distribution Services,Wholesale Distributors,486.0,490.0,454.0,458.0,-5.371900826446281,143176879.0,1823,DKK
DATA,Dataproces Group A/S,OMXCOP,Technology Services,Information Technology Services,6.76,6.78,6.66,6.7,-1.1799410029498536,232689123.0,27008,DKK
DEMANT,Demant A/S,OMXCOP,Health Technology,Medical Specialties,233.2,233.2,229.2,229.8,1.681415929203545,46785407104.0,193653,DKK
DFDS,DFDS A/S,OMXCOP,Transportation,Marine Shipping,98.8,99.5,97.35,97.6,-0.35732516590097857,5383298114.0,81887,DKK
DJUR,Djurslands Bank A/S,OMXCOP,Finance,Regional Banks,726.0,728.0,722.0,728.0,1.1111111111111112,1936800041.0,961,DKK
DKIDK,Danske Invest - Danmark klasse DKK d,OMXCOP,Miscellaneous,Investment Trusts/Mutual Funds,133.8,133.95,132.4,132.7,0.22658610271902033,,16597,DKK
DKIEAUHU,Danske Invest - Europa Hojt Udbytte klasse DKK d,OMXCOP,Miscellaneous,Investment Trusts/Mutual Funds,154.0,154.3,153.6,153.8,0.16281341582546402,,16608,DKK
DKIEIGO,Danske Invest - Euro Investment Grade-Obligationer klasse DKK d h ETF,OMXCOP,Miscellaneous,Investment Trusts/Mutual Funds,101.85,101.95,101.85,101.95,0.049067713444550694,,944,DKK
DKIEUHYODKKDH,Danske Invest - Euro High Yield Obligationer KL,OMXCOP,Miscellaneous,Investment Trusts/Mutual Funds,100.1,100.1,100.1,100.1,0.0,,1948,DKK
DKIEUSC,Danske Invest - Europa Small Cap klasse DKK d ETF,OMXCOP,Miscellaneous,Investment Trusts/Mutual Funds,142.6,143.95,142.6,142.75,1.0261854210898715,,179,DKK
DKIGHYB,Danske Invest - Globale High Yield Obligationer KL,OMXCOP,Miscellaneous,Investment Trusts/Mutual Funds,99.36,99.36,99.36,99.36,-0.5405405405405467,,2530,DKK
DKIGI,Danske Invest - Global Indeks klasse DKK d,OMXCOP,Miscellaneous,Investment Trusts/Mutual Funds,164.35,165.25,164.35,164.8,0.5797985962770931,,168242,DKK
DKIGLIADKKH,Danske Invest - Globale Lange Indeksobligationer - Akkumulerende KL -DKK h-,OMXCOP,Miscellaneous,Investment Trusts/Mutual Funds,142.85,142.85,142.85,142.85,0.3512469265893923,,243,DKK
DKIGSFUTDKKD,Danske Invest - Global StockPicking DKK,OMXCOP,Miscellaneous,Investment Trusts/Mutual Funds,72.6,73.1,72.6,72.92,1.3622463163747622,,29230,DKK
