symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
AIR,Airobot Technologies AS,OMXTSE,Producer Manufacturing,Industrial Machinery,1.9,1.95,1.9,1.95,2.631578947368424,,68,EUR
ARC1T,Arco Vara AS,OMXTSE,Finance,Real Estate Development,1.725,1.725,1.7,1.72,-0.2898550724637748,29960432.0,712,EUR
BERCM,Bercman Technologies AS,OMXTSE,Electronic Technology,Electronic Equipment/Instruments,1.19,1.2,1.19,1.2,0.8403361344537823,,500,EUR
CPA1T,Coop Pank AS,OMXTSE,Finance,Regional Banks,1.938,1.942,1.936,1.94,0.20661157024793406,200680345.0,16971,EUR
EEG1T,Ekspress Grupp AS,OMXTSE,Consumer Services,Publishing: Books/Magazines,1.03,1.04,1.025,1.035,0.4854368932038731,31358730.0,4773,EUR
EFCUPFFT,EfTEN United Property Fund Units EUR,OMXTSE,,,8.73,8.75,8.72,8.75,0.2290950744558943,,287,EUR
EFT1T,EfTEN Real Estate Fund AS,OMXTSE,Miscellaneous,Investment Trusts/Mutual Funds,19.05,19.1,19.05,19.05,0.0,217937715.0,1765,EUR
GRB2G,Grab2go AS,OMXTSE,Technology Services,Packaged Software,0.1,0.115,0.1,0.109,8.999999999999995,,5828,EUR
HAE1T,Harju Elekter Group AS,OMXTSE,Producer Manufacturing,Electrical Products,4.6,4.64,4.59,4.62,0.43478260869566226,85218541.0,3187,EUR
HPR1T,Hepsor AS,OMXTSE,Finance,Real Estate Development,5.98,6.1,5.98,6.0,0.0,23475132.0,154,EUR
INF1T,Infortar AS,OMXTSE,Finance,Financial Conglomerates,42.8,43.0,42.7,43.0,0.7025761124121713,863446925.0,239,EUR
LHV1T,LHV Group AS,OMXTSE,Finance,Major Banks,3.48,3.49,3.46,3.475,0.2886002886002953,1136021603.0,50175,EUR
LINDA,Linda Nektar AS,OMXTSE,Consumer Non-Durables,Beverages: Alcoholic,5.5,5.5,5.5,5.5,-0.9009009009008978,8690786.0,1,EUR
MAGIC,TextMagic AS,OMXTSE,Technology Services,Packaged Software,2.12,2.2,2.12,2.13,0.4716981132075371,18020000.0,772,EUR
MODE,Modera AS,OMXTSE,Technology Services,Packaged Software,4.53,4.61,4.53,4.61,0.2173913043478408,,25,EUR
MOLNR,J. Molner AS,OMXTSE,Health Technology,Pharmaceuticals: Major,25.6,27.6,25.4,27.6,7.8125,43161625.6,687,EUR
MRK1T,Merko Ehitus AS,OMXTSE,Industrial Services,Engineering & Construction,28.0,28.3,28.0,28.25,0.7130124777183575,496485008.0,2032,EUR
NCN1T,Nordecon AS,OMXTSE,Industrial Services,Engineering & Construction,0.664,0.665,0.652,0.665,0.15060240963855434,20575092.0,5006,EUR
NHCBHFFT,Baltic Horizon Fund,OMXTSE,Miscellaneous,Investment Trusts/Mutual Funds,0.2266,0.2266,0.223,0.2247,-0.8822232024702257,,24049,EUR
PKG1T,Pro Kapital Grupp AS,OMXTSE,Finance,Real Estate Development,1.25,1.25,1.25,1.25,0.0,70859942.0,3839,EUR
PNKTD,Punktid Technologies AS,OMXTSE,Technology Services,Packaged Software,0.22,0.224,0.22,0.224,1.81818181818182,,204,EUR
PRF1T,PRFoods AS,OMXTSE,Consumer Non-Durables,Food: Meat/Fish/Dairy,0.0578,0.059,0.0578,0.058,0.3460207612456847,2178069.0,1121,EUR
PRIMO,Primostar Group AS,OMXTSE,Process Industries,Industrial Specialties,3.62,3.62,3.52,3.52,-11.11111111111111,,60,EUR
ROBUS,Robus Group AS,OMXTSE,Consumer Durables,Recreational Products,0.24,0.246,0.24,0.242,-13.571428571428582,,1831,EUR
SAUNA,Saunum Group AS,OMXTSE,Producer Manufacturing,Industrial Machinery,2.83,2.87,2.83,2.87,-0.6920415224913501,4156005.0000000005,8,EUR
SFG1T,Silvano Fashion Group AS,OMXTSE,Consumer Non-Durables,Apparel/Footwear,1.24,1.25,1.24,1.24,0.40485829959513303,44460001.0,9511,EUR
SKN1T,Nordic Fibreboard AS,OMXTSE,Consumer Durables,Home Furnishings,0.74,0.74,0.74,0.74,1.3698630136986314,3284315.0,45,EUR
TAL1T,Tallink Grupp AS,OMXTSE,Transportation,Marine Shipping,0.603,0.604,0.601,0.603,-0.16556291390728492,449115711.0,40422,EUR
TKM1T,TKM Grupp AS,OMXTSE,Retail Trade,Food Retail,9.23,9.25,9.23,9.23,0.0,375930483.0,2062,EUR
TPD1T,Trigon Property Development AS,OMXTSE,Consumer Durables,Home Furnishings,0.666,0.666,0.64,0.64,-3.903903903903907,2996375.0,70,EUR
TSM1T,Tallinna Sadam AS,OMXTSE,Transportation,Other Transportation,1.2,1.206,1.198,1.206,0.5000000000000004,315600013.0,380838,EUR
TVE1T,Tallinna Vesi AS Class A,OMXTSE,Utilities,Water Utilities,10.6,10.6,10.55,10.55,-0.4716981132075371,212000008.0,1309,EUR
