symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
A5G,AIB Group PLC,EURONEXT,Finance,Major Banks,10.99,11.04,10.88,10.895,-0.6383948928408598,22764504813.0,4585297,EUR
BIRG,Bank of Ireland Group PLC,EURONEXT,Finance,Major Banks,19.03,19.44,18.915,19.21,1.1851461680273976,17806785725.0,1743610,EUR
C5H,Cairn Homes PLC,EURONEXT,Consumer Durables,Homebuilding,2.535,2.63,2.535,2.63,4.158415841584158,1568432998.0,468552,EUR
DQ7A,Donegal Investment Group PLC,EURONEXT,Process Industries,Agricultural Commodities/Milling,12.5,12.5,12.5,12.5,0.0,,2137,EUR
EG7,FBD Holdings PLC,EURONEXT,Finance,Property/Casualty Insurance,18.75,18.8,18.5,18.8,0.5347593582887776,676320115.0,36536,EUR
GL9,Glanbia PLC,EURONEXT,Consumer Non-Durables,Food: Meat/Fish/Dairy,22.08,22.82,22.08,22.54,1.8066847335139955,5260468044.0,343233,EUR
GRP,Greencoat Renewables PLC,EURONEXT,Miscellaneous,Investment Trusts/Mutual Funds,0.79,0.797,0.785,0.785,-0.6329113924050638,851792161.0,799794,EUR
GVR,Glenveagh Properties PLC,EURONEXT,Consumer Durables,Homebuilding,2.47,2.47,2.415,2.44,-0.40816326530613184,1238595924.0,710135,EUR
IR5B,Irish Continental Group PLC,EURONEXT,Transportation,Marine Shipping,7.32,7.32,7.2,7.2,0.5586592178770954,1063022718.0,10900,EUR
IRES,Irish Residential Properties REIT PLC,EURONEXT,Finance,Real Estate Investment Trusts,1.092,1.092,1.076,1.076,-0.7380073800738013,568389745.0,1162794,EUR
KMR,Kenmare Resources PLC,EURONEXT,Non-Energy Minerals,Other Metals/Minerals,2.32,2.32,2.32,2.32,0.0,195985296.13564572,2000,EUR
KRX,Kingspan Group PLC,EURONEXT,Non-Energy Minerals,Construction Materials,102.2,102.4,100.2,101.3,-1.170731707317076,18487913551.0,322180,EUR
KRZ,Kerry Group PLC,EURONEXT,Process Industries,Chemicals: Specialty,83.65,84.95,83.2,83.6,-0.476190476190483,13289380371.0,474864,EUR
MIO,Mincon Group PLC,EURONEXT,Producer Manufacturing,Trucks/Construction/Farm Machinery,0.71,0.71,0.71,0.71,-2.739726027397263,155104865.0,500,EUR
MLC,Malin Corporation PLC,EURONEXT,Health Technology,Biotechnology,7.0,7.0,7.0,7.0,0.0,30283176.0,20,EUR
OIZ,Origin Enterprises PLC,EURONEXT,Commercial Services,Miscellaneous Commercial Services,4.485,4.495,4.39,4.49,-2.6030368763557505,496456307.0,8256,EUR
PTSB,Permanent TSB Group Holdings PLC,EURONEXT,Finance,Financial Conglomerates,2.95,2.95,2.93,2.94,-0.33898305084746544,1607725359.0,256587,EUR
RYA,Ryanair Holdings PLC,EURONEXT,Transportation,Airlines,23.15,23.2,22.68,22.73,-2.0258620689655125,24067046983.0,1695607,EUR
UPR,Uniphar PLC,EURONEXT,Distribution Services,Medical Distributors,4.24,4.285,4.195,4.27,0.588928150765594,1101892918.0,266407,EUR
