symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
2020,2020 Bulkers Ltd.,OSL,Transportation,Marine Shipping,4.0,4.088,3.9,3.91,-1.0126582278481022,79551981.0,101196,NOK
5PG,5th Planet Games A/S,OSL,Technology Services,Packaged Software,1.265,1.265,1.265,1.265,0.7968127490039849,337442643.0,29346,NOK
AASB,Aasen Sparebank,OSL,Finance,Savings Banks,134.0,134.0,134.0,134.0,2.8080405094368546,231788374.0,150,NOK
ABG,ABG Sundal Collier Holding ASA,OSL,Finance,Investment Banks/Brokers,7.4,7.4,7.17,7.17,-0.9668508287292857,3779757127.0,1516913,NOK
ABS,Arctic Bioscience AS,OSL,Health Technology,Pharmaceuticals: Major,2.6,2.78,2.6,2.78,-0.3584229390681086,75207950.0,1372,NOK
ABTEC,Aqua Bio Technology ASA,OSL,Process Industries,Chemicals: Major Diversified,5.2,5.2,5.1,5.2,-2.985074626865674,83007022.0,8391,NOK
ACED,Ace Digital AS,OSL,Technology Services,Packaged Software,0.374,0.468,0.374,0.458,1.7777777777777792,56630249.0,42540,NOK
ACR,Axactor ASA,OSL,Commercial Services,Miscellaneous Commercial Services,5.18,5.19,5.05,5.11,-1.9193857965450989,4197563218.9999995,211088,NOK
ADS,ADS Maritime Holding Plc,OSL,Transportation,Marine Shipping,2.58,2.58,2.58,2.58,0.0,183204127.0,25000,NOK
AFG,AF Gruppen ASA Class A,OSL,Industrial Services,Engineering & Construction,189.8,190.6,187.6,187.6,-1.0548523206751055,21536478843.0,16377,NOK
AFISH,Arctic Fish Holding AS,OSL,Process Industries,Agricultural Commodities/Milling,26.6,26.6,26.6,26.6,5.555555555555564,1134124812.0,7,NOK
AFK,Arendals Fossekompani ASA,OSL,Utilities,Electric Utilities,184.0,188.0,184.0,184.0,0.0,10099520538.0,2893,NOK
AGLX,Agilyx ASA,OSL,Industrial Services,Engineering & Construction,16.5,16.85,16.5,16.85,1.2012012012012183,2095594748.9999998,7057,NOK
AIX,Ayfie International AS,OSL,Technology Services,Information Technology Services,2.9,2.9,2.7,2.88,-3.6789297658862985,88184407.0,13550,NOK
AKAST,Akastor ASA,OSL,Industrial Services,Contract Drilling,13.64,13.7,13.46,13.48,-1.605839416058386,3721053821.0,311047,NOK
AKBM,Aker BioMarine ASA,OSL,Process Industries,Agricultural Commodities/Milling,136.4,136.4,132.0,135.0,0.297176820208028,11807587135.0,7853,NOK
AKER,Aker ASA Class A,OSL,Finance,Financial Conglomerates,1612.0,1626.0,1574.0,1614.0,-0.6157635467980296,120642600159.0,106371,NOK
AKOBO,Akobo Minerals AB,OSL,Non-Energy Minerals,Precious Metals,1.95,1.95,1.84,1.87,2.1857923497267775,420017904.0,116385,NOK
AKRBP,Aker BP ASA,OSL,Energy Minerals,Integrated Oil,361.0,364.5,358.7,364.2,1.0263522884882077,227844009155.0,886576,NOK
AKSO,Aker Solutions ASA,OSL,Utilities,Alternative Power Generation,41.84,42.0,41.36,42.0,0.3824091778202595,20427763353.0,489403,NOK
AKVA,AKVA Group ASA,OSL,Producer Manufacturing,Metal Fabrication,143.5,143.5,141.5,141.5,-1.3937282229965158,5212614618.0,1492,NOK
ALNG,ALNG ASA,OSL,Energy Minerals,Oil & Gas Production,3.43,3.43,3.31,3.35,0.9036144578313329,726929122.0,39334,NOK
ANDF,Andfjord Salmon Group AS,OSL,Process Industries,Agricultural Commodities/Milling,28.0,28.2,28.0,28.1,-0.7067137809187254,3429583919.0,3097,NOK
APR,Appear ASA,OSL,Consumer Services,Movies/Entertainment,37.6,38.4,36.5,36.5,-2.666666666666667,1522342443.0,99957,NOK
AQUA,Aqualis ASA,OSL,Commercial Services,Miscellaneous Commercial Services,8.74,8.82,8.7,8.7,-0.22935779816515306,1163469123.0,95834,NOK
ARCH,Archer Limited,OSL,Industrial Services,Contract Drilling,24.7,24.7,24.15,24.25,-0.410677618069821,2421981059.0,465725,NOK
ARR,Arribatec Group ASA,OSL,Technology Services,Information Technology Services,5.6,5.74,5.6,5.64,0.0,377759766.0,245167,NOK
ASA,Atlantic Sapphire ASA,OSL,Process Industries,Agricultural Commodities/Milling,0.8,0.8,0.761,0.799,-0.1250000000000001,28683237.0,15550,NOK
ATEA,Atea ASA,OSL,Technology Services,Information Technology Services,166.4,166.4,163.2,164.2,-0.2430133657351189,18343067779.0,73923,NOK
AURG,Aurskog Sparebank,OSL,Finance,Regional Banks,253.95,254.0,253.95,254.0,0.17747978702425107,1172060506.0,2525,NOK
AUSS,Austevoll Seafood ASA,OSL,Consumer Non-Durables,Food: Meat/Fish/Dairy,85.0,86.25,84.7,86.0,1.1764705882352942,17155046921.000002,121201,NOK
AUTO,AutoStore Holdings Ltd.,OSL,Technology Services,Packaged Software,16.3,16.44,15.35,15.52,-7.121484141232802,57290909073.0,120653674,NOK
AZT,ArcticZymes Technologies ASA,OSL,Health Technology,Medical Specialties,20.7,21.2,20.7,20.7,0.0,1057177854.9999999,13240,NOK
B2I,B2 Impact ASA,OSL,Commercial Services,Miscellaneous Commercial Services,25.8,25.9,25.55,25.7,-0.19417475728155617,9549915733.0,324799,NOK
BAKKA,Bakkafrost P/F,OSL,Consumer Non-Durables,Food: Meat/Fish/Dairy,444.2,456.0,444.2,455.0,1.1111111111111112,26680866051.0,116934,NOK
BALT,Baltic Sea Properties AS,OSL,Finance,Real Estate Development,46.4,46.4,46.2,46.2,-7.599999999999994,434373283.0,10000,NOK
BARRA,Barramundi Group Ltd.,OSL,Process Industries,Agricultural Commodities/Milling,0.56,0.56,0.54,0.54,-0.9174311926605512,95594505.0,39400,NOK
BCS,Bergen Carbon Solutions AS,OSL,Producer Manufacturing,Electrical Products,6.16,7.06,6.14,6.52,8.305647840531561,252660256.0,95143,NOK
BEWI,Bewi ASA,OSL,Process Industries,Containers/Packaging,20.65,20.75,20.3,20.3,-2.168674698795177,4907837582.0,77133,NOK
BIEN,Bien Sparebank ASA,OSL,Finance,Savings Banks,144.0,149.0,144.0,149.0,2.7586206896551726,846349531.0,1113,NOK
BINT,BEVEST ASA,OSL,Miscellaneous,Miscellaneous,24.1,24.1,22.1,22.1,0.913242009132433,2260300110.0,1324,NOK
BMA,Byggma ASA,OSL,Non-Energy Minerals,Forest Products,22.0,22.8,22.0,22.8,-0.8695652173913012,1606163918.0,1781,NOK
BNOR,BlueNord ASA,OSL,Energy Minerals,Oil & Gas Production,576.0,588.0,576.0,588.0,2.4390243902439024,14675573727.0,130066,NOK
BOHUS,Bohus ASA,OSL,Retail Trade,Specialty Stores,35.1,36.0,35.1,35.85,2.282453637660497,3490916209.0,55736,NOK
BONHR,Bonheur ASA,OSL,Transportation,Air Freight/Couriers,260.0,266.0,260.0,260.5,0.0,11079557571.0,12176,NOK
BOR,Borgestad ASA,OSL,Non-Energy Minerals,Construction Materials,17.2,17.2,17.2,17.2,-1.1494252873563178,609940664.0,3312,NOK
BORR,Borr Drilling Limited,OSL,Industrial Services,Contract Drilling,41.6,41.725,39.995,40.3,-3.4383610878159874,12645833234.859674,174730,NOK
BOUV,Bouvet ASA,OSL,Technology Services,Information Technology Services,48.7,48.7,48.1,48.7,0.2057613168724309,4927770356.0,321865,NOK
BRG,Borregaard ASA,OSL,Process Industries,Chemicals: Major Diversified,153.0,153.2,151.0,151.4,-1.0457516339869244,15234841461.0,38059,NOK
BRUT,Bruton Ltd. Shs Norway Depository Receipt Repr 1 Sh,OSL,Finance,Financial Conglomerates,47.0,48.0,46.5,46.6,-0.8510638297872309,733200000.0,160443,NOK
BSP,Black Sea Property AS,OSL,Finance,Real Estate Development,2.8,2.8,2.78,2.8,21.73913043478261,10622264.0,4800,NOK
BWE,BW Energy Ltd.,OSL,Industrial Services,Oilfield Services/Equipment,56.0,57.5,56.0,57.1,2.146690518783547,14444607819.0,148292,NOK
BWLPG,BW LPG Limited,OSL,Transportation,Marine Shipping,222.8,224.6,219.0,222.0,1.1850501367365516,33136978448.0,496310,NOK
BWO,BW Offshore Limited,OSL,Energy Minerals,Oil & Gas Production,38.6,39.2,38.35,38.4,-2.040816326530623,7087944047.0,99257,NOK
CADLR,Cadeler A/S,OSL,Producer Manufacturing,Trucks/Construction/Farm Machinery,58.9,59.95,58.15,59.85,2.30769230769231,22584120667.0,452078,NOK
CAMBI,Cambi ASA,OSL,Industrial Services,Environmental Services,21.8,23.9,21.8,23.0,4.072398190045242,3534937146.0,161114,NOK
CAPSL,Capsol Technologies ASA,OSL,Commercial Services,Miscellaneous Commercial Services,4.64,5.12,4.64,5.12,0.39215686274510714,382746837.0,8961,NOK
CAPT,Capital Tankers Corp.,OSL,Transportation,Marine Shipping,173.48,176.76,173.48,175.66,2.0092915214866482,23021864698.0,266835,NOK
CAVEN,Cavendish Hydrogen ASA,OSL,Producer Manufacturing,Industrial Machinery,5.4,5.48,5.4,5.48,0.0,216466209.0,8156,NOK
CLOUD,Cloudberry Clean Energy ASA,OSL,Industrial Services,Engineering & Construction,13.3,13.3,12.94,13.02,-2.105263157894745,6124158563.0,399600,NOK
CMBTO,CMB.TECH NV,OSL,Transportation,Marine Shipping,178.0,179.4,175.6,176.8,-1.5590200445434204,51816861061.30723,321277,NOK
CODE,CodeLab Capital AS,OSL,Technology Services,Packaged Software,4.09,4.09,3.47,3.47,-17.38095238095238,68549590.0,298,NOK
