symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
06N,Magna Polonia S.A.,GPW,Miscellaneous,Investment Trusts/Mutual Funds,2.77,2.8,2.75,2.8,0.0,38477529.0,5245,PLN
08N,Octava SA,GPW,Miscellaneous,Investment Trusts/Mutual Funds,0.73,0.73,0.73,0.73,0.0,31234399.0,11,PLN
11B,11 Bit Studios SA,GPW,Technology Services,Packaged Software,185.9,189.0,185.0,185.0,-0.5376344086021506,449598995.0,5361,PLN
1AT,ATAL S.A.,GPW,Consumer Durables,Homebuilding,57.4,58.1,57.1,57.1,-0.5226480836236885,2483155719.0,1115,PLN
3RG,3R Games SA,GPW,Retail Trade,Internet Retail,0.864,0.876,0.85,0.852,-1.616628175519632,68620008.0,32379,PLN
4MB,4Mobility S.A.,NEWCONNECT,Finance,Finance/Rental/Leasing,1.32,1.32,1.32,1.32,0.0,6524971.0,14,PLN
4MS,4Mass SA,GPW,Consumer Non-Durables,Household/Personal Care,4.365,4.53,4.36,4.53,2.2573363431151363,106368724.0,35525,PLN
7FT,7FIT Spolka Akcyjna,NEWCONNECT,Retail Trade,Food Retail,10.9,10.9,10.8,10.8,-0.9174311926605472,19538250.0,134,PLN
7LV,7LEVELS SA,NEWCONNECT,Technology Services,Packaged Software,10.1,10.1,10.1,10.1,0.0,7804624.0,2,PLN
AAPL,Apple Inc.,GPW,Electronic Technology,Telecommunications Equipment,917.0,917.0,908.0,908.0,-0.9814612868047983,13541325845692.748,23,PLN
AAS,Arts Alliance GK SA,NEWCONNECT,Finance,Financial Conglomerates,16.4,16.4,16.4,16.4,0.0,269718665.0,1,PLN
AAT,Alta SA,GPW,Finance,Real Estate Development,1.7,1.72,1.69,1.72,1.7751479289940846,26431339.0,6345,PLN
ABE,AB S.A.,GPW,Distribution Services,Electronics Distributors,98.0,98.3,97.0,97.3,-1.017293997965412,1586876226.0,2852,PLN
ABK,Abak S.A.,NEWCONNECT,Commercial Services,Miscellaneous Commercial Services,5.95,5.95,5.95,5.95,0.0,16033822.0,7,PLN
ABS,Asseco Business Solutions SA,GPW,Technology Services,Packaged Software,87.8,88.0,86.2,88.0,0.22779043280182557,2934117184.0,719,PLN
ACG,AC Spolka Akcyjna,GPW,Producer Manufacturing,Auto Parts: OEM,25.9,26.6,25.9,26.5,-1.486988847583638,247444563.0,1576,PLN
ACP,Asseco Poland S.A.,GPW,Technology Services,Packaged Software,217.4,218.6,209.0,212.6,-2.744739249771272,18143867218.0,140709,PLN
ACT,Action S.A.,GPW,Distribution Services,Electronics Distributors,29.25,30.05,28.3,29.6,1.1965811965812014,408685578.0,35300,PLN
ADS,adidas AG,GPW,Consumer Non-Durables,Apparel/Footwear,800.8,800.8,800.8,800.8,0.0,144004038330.8278,0,PLN
ADV,Adiuvo Investment S.A.,GPW,Health Technology,Biotechnology,0.678,0.678,0.662,0.676,0.8955223880597022,8826812.0,9497,PLN
