symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
2P,2PERFORMANT NETWORK S.A.,BVB,,,1.575,1.6,1.575,1.58,-0.3154574132492046,,5655,RON
4RT,Fort SA,BVB,,,2.9,2.9,2.82,2.9,0.0,,1452,RON
AAB,Agroland Agribusiness S.A.,BVB,Distribution Services,Wholesale Distributors,3.88,3.9,3.88,3.9,2.094240837696337,,293,RON
AAG,AAGES S.A,BVB,Producer Manufacturing,Industrial Machinery,4.95,5.0,4.95,4.99,-0.19999999999999576,49650002.0,4859,RON
ABN,ABN Systems International,BVB,,,0.246,0.246,0.246,0.246,-0.8064516129032264,,1,RON
ADISS,Adiss SA,BVB,,,0.288,0.336,0.288,0.336,-3.448275862068953,,3510,RON
ADMY,Admet SA Galati,BVB,Non-Energy Minerals,Other Metals/Minerals,8.0,8.0,8.0,8.0,-19.191919191919197,,2,RON
ADS,adidas AG,BVB,Consumer Non-Durables,Apparel/Footwear,969.8,969.8,969.8,969.8,3.060573857598295,169584793742.82462,1,RON
AG,Agroland Business System SA,BVB,,,1.55,1.57,1.55,1.57,1.2903225806451624,,33975,RON
ALDANI,Aldani Master Capital SA,BVB,Finance,Real Estate Development,1.32,1.32,1.18,1.28,-3.030303030303033,,513,RON
ALR,Alro S.A.,BVB,Non-Energy Minerals,Aluminum,1.54,1.54,1.535,1.54,0.6535947712418306,1092082024.0,5994,RON
ALT,Altur SA,BVB,Producer Manufacturing,Auto Parts: OEM,0.073,0.073,0.07,0.07,1.449275362318842,21117356.0,3370,RON
ALU,Alumil Rom Industry SA,BVB,Non-Energy Minerals,Aluminum,2.41,2.44,2.4,2.4,-0.4149377593361091,75312503.0,5245,RON
ALV,Allianz SE,BVB,Finance,Multi-Line Insurance,1750.0,1750.0,1750.0,1750.0,0.0,711099007042.703,1,RON
ALW,Visual Fan SA,BVB,Electronic Technology,Telecommunications Equipment,21.8,21.8,21.0,21.7,-0.45871559633028175,,671,RON
AMAL,International Caviar Corp. SA,BVB,Process Industries,Agricultural Commodities/Milling,0.0525,0.057,0.0525,0.057,9.615384615384624,,7800,RON
ANTA,Romanta Estival 2002 SA,BVB,Consumer Services,Hotels/Resorts/Cruise lines,6.3,6.3,6.3,6.3,0.0,,2,RON
APP,Appraisal & Valuation SA,BVB,,,5.4,5.6,5.25,5.6,-2.6086956521739193,,985,RON
AQ,Aquila Part Prod Com SA,BVB,Distribution Services,Wholesale Distributors,1.442,1.442,1.424,1.44,0.8403361344537823,1713346387.2,33463,RON
ARAX,Armax Gaz SA,BVB,Producer Manufacturing,Metal Fabrication,1.78,1.78,1.78,1.78,9.876543209876537,10932404.0,22,RON
ARCU,SIFI Cluj Retail SA,BVB,Finance,Real Estate Development,6.4,6.5,6.4,6.45,0.0,,1212,RON
ARCV,Imotrust SA,BVB,Consumer Durables,Homebuilding,0.172,0.172,0.172,0.172,0.0,,500,RON
ARJI,Arteca Jilava S.A,BVB,Process Industries,Industrial Specialties,11.4,11.4,11.4,11.4,-26.923076923076923,,15,RON
ARM,Armatura SA,BVB,Producer Manufacturing,Industrial Machinery,0.164,0.164,0.164,0.164,14.6853146853147,,20171,RON
ARMT,Caromet SA,BVB,Producer Manufacturing,Trucks/Construction/Farm Machinery,3.16,3.16,3.16,3.16,-0.6289308176100634,,1,RON
ARO,Aro-Palace SA,BVB,Consumer Services,Hotels/Resorts/Cruise lines,0.392,0.392,0.392,0.392,0.5128205128205132,157248612.29999998,650,RON
AROBS,Arobs Transilvania Software S.A.,BVB,Technology Services,Packaged Software,0.714,0.714,0.701,0.708,-0.14104372355430195,718571102.0,191925,RON
ARS,Aerostar SA,BVB,Electronic Technology,Aerospace & Defense,9.22,9.42,9.14,9.42,1.948051948051945,1407043608.0,2162,RON
ARTE,Artego SA,BVB,Producer Manufacturing,Industrial Machinery,11.2,11.2,11.2,11.2,0.0,90885155.0,42,RON
ASC,Ascendia SA,BVB,Technology Services,Packaged Software,9.22,9.3,9.12,9.28,0.6507592190889232,,1821,RON
