symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
ABIO,ARTGEN,RUS,Health Services,Medical/Nursing Services,65.68,65.68,64.54,65.0,-0.5812174977057135,6116452675.0199995,31690,RUB
ABRD,Abrau-Durso,RUS,Consumer Non-Durables,Beverages: Alcoholic,153.8,155.0,150.6,152.4,-0.7812499999999927,17160924839.199997,18330,RUB
AFKS,AFK Sistema,RUS,Communications,Wireless Telecommunications,12.388,12.448,12.13,12.176,-1.5921765133758925,119708250000.0,36937100,RUB
AFLT,Aeroflot,RUS,Transportation,Airlines,52.04,52.37,50.55,50.73,-2.498558523928511,203519728495.85,13112460,RUB
AFMC,Agrofirma Mtsenskaya,RUS,Process Industries,Agricultural Commodities/Milling,4152.0,4152.0,4152.0,4152.0,-0.2881844380403458,7486872995.196613,1,RUB
AGRT,Agregat,RUS,Producer Manufacturing,Industrial Machinery,9990.0,9990.0,9990.0,9990.0,-4.346993489084642,,1,RUB
AKAI,AKAI ETF Anti-inflationary,RUS,,,99.81,100.98,99.53,99.82,0.010019036168711457,,222,RUB
AKBC,AKBC ETF blue chip Index,RUS,,,93.8,93.8,91.6,92.1,-0.8611410118407011,,5142,RUB
AKCN,AKCN ETF consumer sector index,RUS,,,89.0,89.0,87.1,87.1,-1.803833145434057,,36,RUB
AKFB,AKFB ETF floating rate bonds,RUS,,,122.27,122.41,122.12,122.22,0.016366612111289706,,2645554,RUB
AKFN,AKFN ETF finance index,RUS,,,88.3,88.6,87.3,87.3,-1.4672686230248275,,81,RUB
AKGD,AKGD ETF Gold,RUS,Miscellaneous,Investment Trusts/Mutual Funds,239.93,240.76,237.6,240.12,0.0791897636810727,,805838,RUB
AKGP,AKGP ETF Currency bonds,RUS,,,1.093,1.11,1.067,1.075,-1.6468435498627647,,7254182,RUB
AKHT,AKHT ETF Alfa IT Leaders,RUS,,,91.9,92.39,91.04,91.23,-1.0091145833333255,,3514,RUB
AKIE,ETF Alfa Managed Income Shares,RUS,,,935.01,939.01,925.01,929.65,-0.6784188034188059,,9215,RUB
AKMB,ETF AKMB Alfa Managed Bonds,RUS,Miscellaneous,Investment Trusts/Mutual Funds,1.7668,1.7698,1.7642,1.7646,-0.0905899671611395,,230742931,RUB
AKME,ETF AKME Alfa Managed Equties,RUS,Miscellaneous,Investment Trusts/Mutual Funds,180.08,180.38,177.84,178.18,-1.077059737952475,,1031909,RUB
AKMM,AKMM ETF Money market,RUS,,,155.5,155.53,155.5,155.53,0.0643376439554747,,20452381,RUB
AKMP,AKMP ETF Money market Plus,RUS,,,1.1189,1.1192,1.1188,1.119,0.03575898444483783,,64089040,RUB
AKPP,AKPP ETF Platinum-Palladium,RUS,,,145.44,146.87,141.17,142.5,-2.02145214521452,,100300,RUB
