symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
2020O,2020 Bulkers Ltd.,OMXSTO,Transportation,Marine Shipping,4.222,4.43,3.966,4.04,-2.4154589371980593,85374449.630904,3295,NOK
36GRP,36 Group AB,NGM,Technology Services,Packaged Software,0.095,0.115,0.093,0.107,15.053763440860212,4324907.0,3223841,SEK
4C,4C Group AB,OMXSTO,Commercial Services,Miscellaneous Commercial Services,7.28,7.38,7.16,7.3,-0.5449591280653956,358097614.0,71607,SEK
8TRA,TRATON SE,OMXSTO,Consumer Durables,Motor Vehicles,422.6,429.6,421.8,429.2,1.5617605300520505,211514179983.00558,54105,SEK
AAC,AAC Clyde Space AB,OMXSTO,Electronic Technology,Telecommunications Equipment,110.4,112.6,110.0,110.6,0.3629764065335676,789323652.0,7062,SEK
AAK,AAK AB,OMXSTO,Consumer Non-Durables,Food: Specialty/Candy,206.6,207.6,204.4,204.6,-1.35004821600772,53832577346.0,645422,SEK
ABAS,ABAS PROTECT AB,NGM,Producer Manufacturing,Metal Fabrication,8.65,8.65,8.65,8.65,0.5813953488372177,60757417.599999994,346,SEK
ABB,ABB Ltd.,OMXSTO,Producer Manufacturing,Electrical Products,920.0,940.6,919.0,935.4,2.117903930131002,1657227089168.4148,341541,SEK
ABERA,ABERA BIOSCIENCE AB,NGM,Health Technology,Biotechnology,7.78,8.06,7.76,8.06,-0.49382716049381664,173802796.0,5124,SEK
ABGO,ABG Sundal Collier Holding ASA,OMXSTO,Finance,Investment Banks/Brokers,7.4,7.45,7.4,7.45,2.0547945205479503,4022333830.144776,13231,NOK
ABI,AB IGRENE,NGM,Energy Minerals,Integrated Oil,0.45,0.472,0.45,0.467,-3.9094650205761234,76184601.0,60262,SEK
ABIG,Abelco Investment Group AB,NGM,Producer Manufacturing,Trucks/Construction/Farm Machinery,0.004,0.004,0.003,0.003,0.0,6881521.0,6266478,SEK
ABSL.B,ABSOLICON SOLAR COLLECTOR AB CLASS B,NGM,Producer Manufacturing,Building Products,2.65,2.89,2.65,2.74,-2.8368794326241007,38430586.0,7767,SEK
ABSO,Absolent Air Care Group AB,OMXSTO,Producer Manufacturing,Industrial Machinery,201.0,213.0,199.5,205.0,1.9900497512437811,2275514503.0,4582,SEK
ACAD,AcadeMedia AB,OMXSTO,Consumer Services,Other Consumer Services,101.2,102.4,100.6,101.4,0.9960159362549801,9624966958.0,75651,SEK
ACARIX,Acarix AB,OMXSTO,Health Technology,Medical Specialties,0.229,0.2395,0.2225,0.2255,-4.042553191489354,263980215.0,2180939,SEK
ACAST,Acast AB,OMXSTO,Technology Services,Packaged Software,34.6,35.4,34.5,35.25,0.7142857142857143,6386284485.0,233235,SEK
ACCON,Acconeer AB,OMXSTO,Electronic Technology,Semiconductors,15.9,16.76,15.5,15.52,-2.389937106918244,1210650344.0,111282,SEK
ACE,Ascelia Pharma AB,OMXSTO,Health Technology,Pharmaceuticals: Major,0.642,0.655,0.625,0.646,0.6230529595015581,85729759.0,739283,SEK
ACOU,AcouSort AB,OMXSTO,Distribution Services,Medical Distributors,2.9,2.92,2.77,2.9,-1.360544217687076,62221874.0,10416,SEK
ACRI_A,Acrinova AB Class A,OMXSTO,Finance,Real Estate Development,8.76,8.76,8.28,8.56,-2.2831050228310423,355167967.0,1210,SEK
ACRI_B,Acrinova AB Class B,OMXSTO,Finance,Real Estate Development,7.86,7.88,7.62,7.64,-2.551020408163268,355167967.0,15149,SEK
ACRO,Axactor ASA,OMXSTO,Commercial Services,Miscellaneous Commercial Services,5.18,5.18,5.18,5.18,3.807615230460912,4337726690.995356,1,NOK
ACROUD,Acroud AB,OMXSTO,Technology Services,Packaged Software,0.132,0.132,0.124,0.13,-5.1094890510948945,175253279.0,993187,SEK
ACTI,Active Biotech AB,OMXSTO,Health Technology,Biotechnology,4.97,5.05,4.955,4.955,0.9164969450101819,129430894.99999999,12275,SEK
ACUC,ACUCORT AB,NGM,Health Technology,Pharmaceuticals: Major,0.602,0.654,0.602,0.624,0.6451612903225813,145355612.0,189252,SEK
ACUVI,Acuvi AB,OMXSTO,Producer Manufacturing,Electrical Products,8.3,8.41,8.17,8.27,-0.24125452352231092,276514210.0,14807,SEK
ADDT_B,Addtech AB Class B,OMXSTO,Distribution Services,Wholesale Distributors,332.8,337.2,331.6,333.4,0.9079903147699759,89184254229.0,427093,SEK
ADTR,Adtraction Group AB,OMXSTO,Technology Services,Internet Software/Services,40.6,40.7,39.3,40.4,-0.4926108374384306,674249997.0,4208,SEK
ADVE,Advenica AB,OMXSTO,Technology Services,Information Technology Services,16.78,17.26,16.58,17.0,-0.468384074941442,751279119.0,36544,SEK
ADVT,Adverty AB,NGM,Technology Services,Information Technology Services,0.191,0.203,0.186,0.203,8.556149732620328,102869247.0,2677025,SEK
AEC,Africa Energy Corp.,OMXSTO,Energy Minerals,Oil & Gas Production,1.38,1.4,1.38,1.38,-0.7194244604316554,620548171.606148,116399,SEK
AERO,Svenska Aerogel Holding AB,OMXSTO,Industrial Services,Engineering & Construction,0.798,0.804,0.762,0.77,-4.228855721393039,39798860.0,79432,SEK
AERW.B,AEROWASH AB CLASS B,NGM,Producer Manufacturing,Industrial Machinery,1.33,1.39,1.28,1.325,-0.3759398496240688,27606615.0,33171,SEK
AFGO,AF Gruppen ASA Class A,OMXSTO,Industrial Services,Engineering & Construction,192.0,192.0,192.0,192.0,-1.0309278350515463,22330139793.681145,123,NOK
AFKO,Arendals Fossekompani ASA,OMXSTO,Utilities,Electric Utilities,173.0,173.0,173.0,173.0,0.0,10416766677.139656,90,NOK
AFRI,Africa Resources AB,NGM,Non-Energy Minerals,Other Metals/Minerals,0.133,0.14,0.12,0.124,-8.823529411764714,6762774.0,1834062,SEK
AFRY,AFRY AB Class B,OMXSTO,Commercial Services,Miscellaneous Commercial Services,104.2,104.2,102.5,102.6,-1.629913710450626,11739076207.0,186206,SEK
AGES_B,AGES Industri AB,OMXSTO,Producer Manufacturing,Industrial Conglomerates,43.2,45.0,43.2,45.0,2.272727272727273,238099327.0,10,SEK
AGROUP,Arlandastad Group AB,OMXSTO,Finance,Real Estate Development,35.9,36.9,35.9,36.6,1.9498607242339914,2270875588.0,39907,SEK
AGTIRA_B,Agtira AB Class B,OMXSTO,Process Industries,Agricultural Commodities/Milling,2.53,2.54,2.43,2.51,-0.396825396825406,333038236.0,26680,SEK
AIK.B,AIK Fotboll AB Class B,NGM,Consumer Services,Movies/Entertainment,2.19,2.24,2.19,2.2,0.4566210045662206,47829588.0,10240,SEK
AINO,Aino Health AB,OMXSTO,Commercial Services,Miscellaneous Commercial Services,0.199,0.199,0.199,0.199,0.0,40709252.0,19075,SEK
AIRA,AI Revenue Assistant Software Stockholm AB,OMXSTO,Technology Services,Packaged Software,3.38,3.38,3.195,3.225,-4.017857142857137,,30664,SEK
AIXIA.B,AIXIA GROUP AB CLASS B,NGM,Technology Services,Information Technology Services,76.6,76.8,76.4,76.8,0.2610966057441291,120721594.0,63,SEK
