symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
013A,"JD.com, Inc. Sponsored ADR Class A",BX,Retail Trade,Internet Retail,28.148,28.148,28.148,28.148,6.2389130024532875,41313586346.56561,200,CHF
02M,Mosaic Company,BX,Process Industries,Chemicals: Agricultural,27.851,27.851,27.851,27.851,-7.573092622706004,8718435341.288784,85,CHF
0700,Tencent Holdings Ltd,BX,Technology Services,Packaged Software,67.901,67.901,67.901,67.901,2.586532505401205,624392554464.3157,50,CHF
0ET,"Esperion Therapeutics, Inc.",BX,Health Technology,Pharmaceuticals: Major,2.277,2.3,2.277,2.3,19.542619542619537,529320079.55449486,600,CHF
0OK,"Okta, Inc. Class A",BX,Technology Services,Packaged Software,75.041,75.041,75.041,75.041,-1.114815449286444,13084714182.179794,12,CHF
0Q3,"Beyond Meat, Inc.",BX,Consumer Non-Durables,Food: Major Diversified,2.077,2.134,1.89,1.89,-3.9145907473309696,156923178.99761337,1581,CHF
0QF,"Moderna, Inc.",BX,Health Technology,Biotechnology,22.66,22.93,22.237,22.237,-0.6389633601429878,8818521696.897375,92,CHF
0UB,UBS Group AG,BX,Finance,Investment Managers,32.654,32.768,32.549,32.589,-0.06746189935910726,104336438436.0,4516,CHF
100D,Multi Units LU - Amundi FTSE 100,SIX,Miscellaneous,Investment Trusts/Mutual Funds,147.92,147.92,147.92,147.92,0.0,,2500,CHF
100GBA,UBS (Lux) Fund Solutions - UBS FTSE 100 UCITS ETF -GBP dis- Distribution,SIX,Miscellaneous,Investment Trusts/Mutual Funds,93.66,93.66,93.66,93.66,0.10688328345446164,,32,CHF
100GBA.GBP,UBS (Lux) Fund Solutions - UBS FTSE 100 UCITS ETF -GBP dis- Distribution,SIX,Miscellaneous,Investment Trusts/Mutual Funds,87.03,87.3,87.03,87.3,0.11467889908256229,,362,GBP
1211,BYD Company Limited Class H,BX,Producer Manufacturing,Electrical Products,11.184,11.184,11.14,11.14,-0.21497671085631614,105500125471.86383,500,CHF
12DA,"Dell Technologies, Inc. Class C",BX,Electronic Technology,Computer Processing Hardware,116.829,116.829,116.645,116.645,-1.4114862866077857,75282261410.5012,16,CHF
19T,Idorsia Ltd.,BX,Health Technology,Pharmaceuticals: Major,3.994,3.994,3.994,3.994,16.13841232916546,1045860126.9999999,800,CHF
19V,VAT Group AG,BX,Producer Manufacturing,Industrial Machinery,351.164,368.023,351.164,368.023,4.055949196726974,10554070046.0,151,CHF
1CG,CRISPR Therapeutics AG,BX,Health Technology,Biotechnology,54.93,55.914,54.93,55.914,-4.21912739606352,4901337741.447892,311,CHF
1F9,"Five9, Inc.",BX,Technology Services,Packaged Software,20.138,20.138,20.138,20.138,-3.9950419527078442,1401423404.9323788,100,CHF
1FC,FACC AG,BX,Electronic Technology,Aerospace & Defense,8.334,8.334,8.334,8.334,-5.97924187725633,404536408.90930796,70,CHF
1N8,Adyen NV,BX,Commercial Services,Miscellaneous Commercial Services,1360.825,1360.825,1360.825,1360.825,0.7972226460710804,42536995403.180435,3,CHF
1NBA,Anheuser-Busch InBev SA/NV,BX,Consumer Non-Durables,Beverages: Alcoholic,47.487,47.487,47.487,47.487,0.5420168956829206,93745574254.50836,3,CHF
1NC,Norwegian Cruise Line Holdings Ltd.,BX,Consumer Services,Hotels/Resorts/Cruise lines,19.444,19.444,19.444,19.444,-8.187741996411377,8743922206.841688,1,CHF
1Q3,Sensirion Holding AG,BX,Electronic Technology,Semiconductors,64.265,64.32,63.765,63.765,0.5503343004919953,983673534.0,25,CHF
1QZ,"Coinbase Global, Inc. Class A",BX,Finance,Investment Banks/Brokers,307.125,311.016,307.125,309.363,3.999099059727639,77678274399.87273,129,CHF
1RU,Medartis Holding AG,BX,Health Technology,Medical Specialties,86.279,86.279,86.279,86.279,29.82289832829262,1169798348.0,105,CHF
1SI,"Snap, Inc. Class A",BX,Technology Services,Packaged Software,6.833,6.972,6.833,6.972,1.9000292312189533,11480645089.89658,604,CHF
1SQ,Swissquote Group Holding Ltd.,BX,Finance,Investment Banks/Brokers,530.864,532.933,530.86,531.943,0.8902814419752261,7821940109.0,118,CHF
1VIC,1Valour Internet Computer Physical Staking,SIX,,,0.6002,0.6002,0.6002,0.6002,-1.6065573770491854,,500,CHF
1Y2,Hypothekarbank Lenzburg AG,BX,Finance,Regional Banks,4048.089,4048.089,4048.089,4048.089,0.6256150692494364,290249777.0,1,CHF
1Y3,Graubuendner Kantonalbank,BX,Finance,Regional Banks,1735.519,1735.519,1735.519,1735.519,-0.23143983053040118,1308750000.0,1,CHF
1Y4,Schweizerische Nationalbank,BX,Finance,Major Banks,3681.5,3681.5,3681.5,3681.5,2.3450542027079817,368000005.0,1,CHF
1YD,Broadcom Inc.,BX,Electronic Technology,Semiconductors,272.435,272.435,263.317,265.389,-2.695597654918027,1271206604054.8928,7,CHF
1YQA,SIG Group AG,BX,Producer Manufacturing,Industrial Machinery,7.925,7.925,7.734,7.819,-1.2752525252525249,3035180846.0,2439,CHF
1Z9,SF Urban Properties AG,BX,Finance,Real Estate Development,95.014,95.014,95.014,95.014,0.24477221413348454,325137217.0,122,CHF
21,SFS Group AG,BX,Producer Manufacturing,Metal Fabrication,110.454,110.454,110.454,110.454,2.5047561598069676,4305577447.0,70,CHF
