symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
A3,A3 Mercados SA,BCBA,Technology Services,Internet Software/Services,2490.0,2600.0,2470.0,2550.0,1.3916500994035785,617735822754.0,56858,ARS
A3D,A3 Mercados SA,BCBA,Technology Services,Internet Software/Services,1.81,1.81,1.73,1.73,-4.945054945054949,617735822797.8594,60,USD
AAL,American Airlines Group Inc. Shs Cert Deposito Arg Repr 0.5 Sh,BCBA,Transportation,Airlines,8820.0,9230.0,8820.0,9195.0,4.2517006802721085,11034268095639.941,39442,ARS
AALC,American Airlines Group Inc. Shs Cert Deposito Arg Repr 0.5 Sh,BCBA,Transportation,Airlines,6.2,6.2,6.2,6.2,10.12433392539965,11034268096423.375,3,USD
AALD,American Airlines Group Inc. Shs Cert Deposito Arg Repr 0.5 Sh,BCBA,Transportation,Airlines,6.12,6.12,5.6,5.96,-1.6501650165016444,11034268096423.375,810,USD
AAP,"Advance Auto Parts, Inc. Shs Cert Deposito Arg Repr 0.0714285714 Sh",BCBA,Retail Trade,Specialty Stores,5725.0,5925.0,5630.0,5925.0,3.4031413612565444,4519540932489.451,9358,ARS
AAPL,Apple Inc. Shs Cert Deposito Arg Repr 0.05 Shs,BCBA,Electronic Technology,Telecommunications Equipment,18500.0,19650.0,18290.0,19530.0,6.083650190114068,5164914730263009.0,52857,ARS
AAPLC,Apple Inc. Shs Cert Deposito Arg Repr 0.05 Shs,BCBA,Electronic Technology,Telecommunications Equipment,12.65,12.84,12.65,12.84,4.051863857374392,5164914730629718.0,18,USD
AAPLD,Apple Inc. Shs Cert Deposito Arg Repr 0.05 Shs,BCBA,Electronic Technology,Telecommunications Equipment,12.69,12.83,12.45,12.7,1.3567438148443731,5164914730629718.0,5451,USD
ABBV,"AbbVie, Inc. Shs Cert Deposito Arg Repr 0.1",BCBA,Health Technology,Pharmaceuticals: Major,34120.0,35540.0,33840.0,35340.0,4.742145820983995,563683623707454.2,1169,ARS
ABBVC,"AbbVie, Inc. Shs Cert Deposito Arg Repr 0.1",BCBA,Health Technology,Pharmaceuticals: Major,23.55,23.55,23.55,23.55,114.0909090909091,563683623747475.9,10,USD
ABBVD,"AbbVie, Inc. Shs Cert Deposito Arg Repr 0.1",BCBA,Health Technology,Pharmaceuticals: Major,23.2,23.47,22.77,23.12,0.9606986899563426,563683623747475.9,67,USD
ABEV,Ambev SA ADS Cert Deposito Arg Repr 3 ADS,BCBA,Consumer Non-Durables,Beverages: Alcoholic,10000.0,10530.0,9885.0,10420.0,5.733130390664637,49330442104669.48,12793,ARS
ABEV3,Ambev SA CEDEAR,BCBA,Consumer Non-Durables,Beverages: Alcoholic,3400.0,3500.0,3310.0,3480.0,2.503681885125184,49330442104669.48,1658,ARS
ABEVC,Ambev SA ADS Cert Deposito Arg Repr 3 ADS,BCBA,Consumer Non-Durables,Beverages: Alcoholic,6.7,6.7,6.7,6.7,-5.500705218617767,49330442108171.94,12,USD
ABEVD,Ambev SA ADS Cert Deposito Arg Repr 3 ADS,BCBA,Consumer Non-Durables,Beverages: Alcoholic,6.86,6.9,6.71,6.9,2.2222222222222276,49330442108171.94,302,USD
ABNB,"Airbnb, Inc. Shs A Cert Deposito Arg Repr 0.06666667 Sh A",BCBA,Consumer Services,Hotels/Resorts/Cruise lines,12350.0,13070.0,12160.0,13010.0,6.290849673202614,107409605161744.0,16353,ARS
ABNBD,"Airbnb, Inc. Shs A Cert Deposito Arg Repr 0.06666667 Sh A",BCBA,Consumer Services,Hotels/Resorts/Cruise lines,8.5,8.71,8.4,8.55,-0.3496503496503422,107409605169370.1,280,USD
ABT,Abbott Laboratories Shs Cert Deposito Arg Repr 0.25 Shs,BCBA,Health Technology,Medical Specialties,48000.0,50025.0,47600.0,49840.0,5.280946345585129,312425844437412.06,907,ARS
ABTD,Abbott Laboratories Shs Cert Deposito Arg Repr 0.25 Shs,BCBA,Health Technology,Medical Specialties,30.6,31.8,30.6,31.8,1.2416427889207275,312425844459594.4,631,USD
ACN,Accenture PLC Shs Cert Deposito Arg Repr 0.013333333 Shs,BCBA,Technology Services,Information Technology Services,4560.0,4950.0,4512.5,4930.0,5.850778314546431,204113779876230.62,13317,ARS
ACND,Accenture PLC Shs Cert Deposito Arg Repr 0.013333333 Shs,BCBA,Technology Services,Information Technology Services,3.22,3.39,3.22,3.25,-1.3657056145675244,204113779890722.72,1015,USD
ACWI,iShares MSCI ACWI ETF Shs Cert Deposito Arg Repr 0.038461538 Sh,BCBA,,,7935.0,8280.0,7860.0,8275.0,4.153555695405916,,6470,ARS
ACWID,iShares MSCI ACWI ETF Shs Cert Deposito Arg Repr 0.038461538 Sh,BCBA,,,5.45,5.45,5.29,5.38,-1.2844036697247758,,2058,USD
ADBE,Adobe Inc. Shs Cert Deposito Arg Repr 0.02272727,BCBA,Technology Services,Packaged Software,11240.0,11780.0,11060.0,11710.0,5.11669658886894,193833592978902.94,25702,ARS
ADBEC,Adobe Inc. Shs Cert Deposito Arg Repr 0.02272727,BCBA,Technology Services,Packaged Software,7.71,7.71,7.71,7.71,0.0,193833592992665.16,5,USD
ADBED,Adobe Inc. Shs Cert Deposito Arg Repr 0.02272727,BCBA,Technology Services,Packaged Software,7.56,7.7,7.5,7.67,1.3210039630118842,193833592992665.16,3852,USD
ADGO,Adecoagro SA Shs Cert Deposito Arg Repr 1 Sh,BCBA,Process Industries,Agricultural Commodities/Milling,11470.0,11810.0,11290.0,11750.0,3.7985865724381624,1070250258790.4359,5338,ARS
ADGOD,Adecoagro SA Shs Cert Deposito Arg Repr 1 Sh,BCBA,Process Industries,Agricultural Commodities/Milling,7.63,7.83,7.62,7.83,2.219321148825064,1070250258866.4238,204,USD
ADI,"Analog Devices, Inc. Shs Cert Deposito Arg Repr 0.066666667 Shs",BCBA,Electronic Technology,Semiconductors,23920.0,25120.0,23820.0,25020.0,4.076539101497504,167174901836849.47,268,ARS
ADID,"Analog Devices, Inc. Shs Cert Deposito Arg Repr 0.066666667 Shs",BCBA,Electronic Technology,Semiconductors,17.0,17.17,17.0,17.17,1.00000000000001,167174901848718.9,21,USD
ADP,Automatic Data Processing Inc Shs Cert Deposito Arg Repr 0.16666667 Shs,BCBA,Technology Services,Packaged Software,71625.0,72850.0,71625.0,72550.0,4.463642908567315,159620093684950.78,68,ARS
AEG,Aegon Ltd. Shs Cert. Deposito Arg. Repr. 1 Sh,BCBA,Finance,Multi-Line Insurance,11000.0,11350.0,10940.0,11350.0,0.9786476868327402,16849089529575.977,57,ARS
