symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
A1AP34,"Advance Auto Parts, Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.0625 Sh",BMFBOVESPA,Retail Trade,Specialty Stores,20.61,20.77,20.52,20.73,1.0233918128655013,19834766682.692307,100.0,BRL
A1CR34,Amcor PLC Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BMFBOVESPA,Process Industries,Containers/Packaging,43.36,43.36,43.36,43.36,0.9310986964618215,100990749524.57265,50.0,BRL
A1DC34,Agree Realty Corp Shs Unsponsored Brazilian Depositary Receipt Repr 0.125 Sh,BMFBOVESPA,Finance,Real Estate Investment Trusts,47.65,47.65,47.65,47.65,0.2103049421661439,42398347254.273506,2.0,BRL
A1DI34,"Analog Devices, Inc. Unsponsored Brazilian Depository Receipt Repr 1/2 Sh",BMFBOVESPA,Electronic Technology,Semiconductors,650.0,650.0,650.0,650.0,-1.0880316518298678,628819968589.7435,7.0,BRL
A1DM34,Archer-Daniels-Midland Company Shs Unsponsored Brazilian Depository Receipt Repr 1 Sh,BMFBOVESPA,Process Industries,Agricultural Commodities/Milling,316.8,316.8,316.48,316.48,-0.30241935483870325,152070087040.5983,5.0,BRL
A1EG34,Aegon Ltd. ADR Unsponsored Brazilian Depositary Receipt Repr 0.25 ADR,BMFBOVESPA,Finance,Multi-Line Insurance,42.87,42.87,42.24,42.24,-0.471253534401498,66471908672.91104,4.0,BRL
A1EN34,Alliant Energy Corporation Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BMFBOVESPA,Utilities,Electric Utilities,348.6,348.6,348.6,348.6,0.8155474579212362,92121825523.50427,1.0,BRL
A1EP34,"American Electric Power Company, Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 1/2 Sh",BMFBOVESPA,Utilities,Electric Utilities,302.14,302.14,302.14,302.14,0.7133333333333287,322105271346.1538,6.0,BRL
A1ES34,AES Corporation Shs Unsponsored Brazilian Depository Receipt Repr 1 Sh,BMFBOVESPA,Utilities,Electric Utilities,81.74,81.74,76.95,76.95,-4.976537416646087,58462615726.49572,60.0,BRL
A1IV34,Apartment Investment and Management Company -A- Unsponsored BDR,BMFBOVESPA,Finance,Real Estate Investment Trusts,41.9,41.9,41.1,41.1,-2.1428571428571392,5991293643.162393,112.0,BRL
A1KA34,"Akamai Technologies, Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.0833 Sh",BMFBOVESPA,Technology Services,Data Processing Services,34.56,34.56,34.56,34.56,3.971119133574008,58089519022.4359,3.0,BRL
A1LB34,Albemarle Corporation Shs Unsponsored Brazilian Depositary Receipt Repr 0.04166667 Sh,BMFBOVESPA,Process Industries,Chemicals: Specialty,19.4,19.97,19.3,19.53,4.438502673796801,53101908333.333336,4905.0,BRL
A1LG34,"Align Technology, Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 1/4 Sh",BMFBOVESPA,Health Technology,Medical Specialties,171.36,173.4,171.36,172.38,1.603206412825651,49377463589.74358,4.0,BRL
A1LL34,"Bread Financial Holdings, Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.25 Sh",BMFBOVESPA,Finance,Finance/Rental/Leasing,73.78,73.78,73.78,73.78,-0.47214353163360895,13676297644.230768,1.0,BRL
A1LN34,"Alnylam Pharmaceuticals, Inc Shs Unsponsored Brazilian Depository Receipt Repr 0.05 Sh",BMFBOVESPA,Health Technology,Pharmaceuticals: Major,120.72,121.92,120.72,121.92,-2.213666987487973,322550989107.90594,330.0,BRL
A1MD34,"Advanced Micro Devices, Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.125 Sh",BMFBOVESPA,Electronic Technology,Semiconductors,112.8,114.6,111.0,113.64,3.412503412503413,1421808731426.282,203870.0,BRL
A1ME34,"AMETEK, Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.04166667 S",BMFBOVESPA,Producer Manufacturing,Electrical Products,41.52,41.52,41.52,41.52,-0.7648183556405359,231250046794.87177,1.0,BRL
A1MP34,"Ameriprise Financial, Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.25 Sh",BMFBOVESPA,Finance,Investment Banks/Brokers,657.98,657.98,657.98,657.98,1.4180461789820966,245045630325.8547,12.0,BRL
A1MT34,"Applied Materials, Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.1 Sh",BMFBOVESPA,Producer Manufacturing,Industrial Machinery,120.16,120.16,116.76,119.32,3.3252511257360484,926607546778.8461,3103.0,BRL
A1NE34,Arista Networks Inc Shs Unsponsored Brazilian Depositary Receipt Repr 0.25 Sh,BMFBOVESPA,Electronic Technology,Computer Peripherals,201.0,201.0,190.0,193.0,-8.962264150943396,1002202441912.3931,1592.0,BRL
A1PA34,APA Corporation Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BMFBOVESPA,Energy Minerals,Integrated Oil,128.44,128.44,128.44,128.44,-1.8643031784841058,47895986698.71795,1.0,BRL
A1PD34,"Air Products and Chemicals, Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.25 Sh",BMFBOVESPA,Process Industries,Chemicals: Specialty,380.62,380.62,380.62,380.62,-1.816024351235624,319445322355.7692,4.0,BRL
A1PH34,Amphenol Corporation Unsponsored Brazilian Depositary Receipt Repr 1/2 Sh,BMFBOVESPA,Electronic Technology,Electronic Components,328.19,328.19,328.19,328.19,0.7614135273709798,813034370219.0171,18.0,BRL
A1PL34,Applied Digital Corporation Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BMFBOVESPA,Technology Services,Data Processing Services,137.93,147.36,137.93,142.74,5.7333333333333405,34925187756.410255,6042.0,BRL
A1PO34,Apollo Global Management Inc Shs Unsponsored Brazilian Depositary Receipt Repr 0.06666667 Shs,BMFBOVESPA,Finance,Investment Managers,46.55,46.55,45.3,45.4,-2.0496224379719585,399420164300.2136,47049.0,BRL
A1PP34,AppLovin Corp. Shs A UnSp Brazilian Depositary Receipt Repr 0.03125 Shs A,BMFBOVESPA,Technology Services,Packaged Software,117.12,117.12,112.92,114.0,-2.663934426229512,1272213665133.547,15013.0,BRL
A1RC34,Arcos Dorados Holdings Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BMFBOVESPA,Consumer Services,Restaurants,35.84,35.84,35.84,35.84,-5.285412262156448,7528503488.247863,5.0,BRL
A1RE34,Alexandria Real Estate Equities Inc Shs Unsponsored Brazilian Depositary Receipt Repr 0.25 Sh,BMFBOVESPA,Finance,Real Estate Investment Trusts,111.11,112.31,111.11,111.45,0.4054054054054079,77110866084.4017,25.0,BRL
A1RG34,argenx SE ADR Unsponsored Brazilian Depositary Receipt Repr 0.04 ADR,BMFBOVESPA,Health Technology,Biotechnology,164.32,166.56,162.62,164.16,5.122950819672131,253644593579.16666,72.0,BRL
A1TH34,Autohome Inc. ADR Unsponsored Brazilian Depositary Receipt Repr 0.1 ADR,BMFBOVESPA,Technology Services,Internet Software/Services,15.32,15.32,15.28,15.28,-0.26109660574413135,18957780439.03878,12.0,BRL
A1TT34,Allstate Corporation Shs Unsponsored Brazilian Depositary Receipt Repr 0.04166667 Sh,BMFBOVESPA,Finance,Multi-Line Insurance,46.85,46.85,46.85,46.85,0.42872454448017755,296556106960.4701,17.0,BRL
A1UT34,"Autodesk, Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 1/4 Sh",BMFBOVESPA,Technology Services,Packaged Software,419.9,419.9,419.9,419.9,0.0,359244083012.82043,2.0,BRL
A1VB34,"AvalonBay Communities, Inc. Unsponsored Brazilian Depositary Receipt Repr 0.25 Sh",BMFBOVESPA,Finance,Real Estate Investment Trusts,253.76,255.32,253.76,255.32,-0.5065856129685962,145554679989.31622,4.0,BRL
A1WK34,American Water Works Co Inc Shs Unsponsored Brazilian Depositary Receipt Repr 0.25 Sh,BMFBOVESPA,Utilities,Water Utilities,178.03,178.03,178.03,178.03,-1.6843384139606863,146930027986.11108,3.0,BRL
A1ZN34,AstraZeneca PLC ADR Unsponsored Brazilian Depositary Receipt Repr 0.1666 ADR,BMFBOVESPA,Health Technology,Pharmaceuticals: Major,74.14,74.75,73.85,74.28,-0.5089740155370954,1388048895070.3428,431.0,BRL
A2FY34,Afya Limited Unsponsored BDR A,BMFBOVESPA,Consumer Services,Other Consumer Services,43.0,43.0,43.0,43.0,4.015481373971931,7474459791.666666,1.0,BRL
A2MB34,"Ambarella, Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.04 Sh",BMFBOVESPA,Electronic Technology,Semiconductors,18.24,18.38,18.24,18.38,0.767543859649126,19401606714.74359,73.0,BRL
A2RE34,Ares Management Corporation Shs Unsponsored Brazilian Depositary Receipt Repr 0.1 Sh,BMFBOVESPA,Finance,Investment Managers,84.56,84.56,82.87,82.87,-6.898101336928435,177800071324.78632,14.0,BRL
A2RR34,Arrowhead Pharmaceuticals Inc Unsponsored Brazilian Depositary Receipt Repr 0.125 Sh,BMFBOVESPA,Health Technology,Biotechnology,24.04,24.04,23.14,23.24,-0.9377664109122013,25856819989.31624,1201.0,BRL
A2XO34,Axon Enterprise Inc Unsponsored Brazilian Depositary Receipt Repr 0.055555556 Sh,BMFBOVESPA,Electronic Technology,Aerospace & Defense,211.88,215.0,211.88,213.98,1.014964830288428,298308497206.1966,4.0,BRL
A9AB5L,AGROPAST  PNA*,BMFBOVESPA,,,0.01,0.01,0.01,0.01,,,586643033.0,BRL
AADA39,21Shares Ltd ETP Unsponsored Brazilian Depositary Receipt Repr 1 ETP,BMFBOVESPA,,,82.31,82.31,82.31,82.31,0.37804878048780766,,1.0,BRL
AAGR11,Asset Bank Agronegocios Fundo de Investimento nas Cadeias Produtivas Agroindustriais Direitos Creditorios,BMFBOVESPA,,,94.0,97.9,89.28,94.0,0.0,,357.0,BRL
AALL34,American Airlines Group Inc. Shs Unsponsored Brazilian Depository Receipt Repr 1 Sh,BMFBOVESPA,Transportation,Airlines,61.04,61.77,60.72,61.74,2.456023896448729,39723669001.068375,1053.0,BRL
AALR3,Allianca Saude e Participacoes SA - ALLIAR,BMFBOVESPA,Health Services,Medical/Nursing Services,6.82,6.82,6.45,6.7,-0.8875739644970357,1029336187.0000001,92500.0,BRL
AALR3F,Allianca Saude e Participacoes SA - ALLIAR,BMFBOVESPA,Health Services,Medical/Nursing Services,6.8,6.83,6.48,6.48,-4.142011834319518,1029336187.0000001,665.0,BRL
AAPL34,Apple Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.05 Sh,BMFBOVESPA,Electronic Technology,Telecommunications Equipment,68.29,69.25,67.75,68.9,0.9375915616759456,20250948132500.0,215735.0,BRL
AATH11,Athon Energia ESG I Fundo de Investimento em Participacoes em Infraestrutura,BMFBOVESPA,,,1489.96,1489.96,1489.96,1489.96,0.0,,1.0,BRL
AAZQ11,AZ Quest Sole Fundo de Investimento Nas Cadeias Produtivas do Agronegocio - Fiagro - Imobiliario,BMFBOVESPA,Miscellaneous,Investment Trusts/Mutual Funds,7.54,7.57,7.5,7.53,0.13297872340426428,,35610.0,BRL
ABBV34,"AbbVie, Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.0625 Sh",BMFBOVESPA,Health Technology,Pharmaceuticals: Major,80.88,80.88,78.41,78.9,-2.556502408299362,2306151219401.7095,1692.0,BRL
ABCB4,Banco ABC Brasil SA Conv Pfd,BMFBOVESPA,Finance,Regional Banks,23.25,23.25,22.8,22.8,-1.8510546706844586,5552076246.0,318400.0,BRL
ABCB4F,Banco ABC Brasil SA Conv Pfd,BMFBOVESPA,Finance,Regional Banks,23.2,23.24,22.81,22.95,-1.3327601031814371,5552076246.0,10385.0,BRL
ABCP11,Fundo de Investimento Imobiliario Grand Plaza Shopping Cotas,BMFBOVESPA,,,75.99,76.01,74.33,75.0,-0.6622516556291391,,2019.0,BRL
ABEV3,Ambev SA,BMFBOVESPA,Consumer Non-Durables,Beverages: Alcoholic,12.03,12.15,11.86,11.93,-0.5004170141784862,188930489411.0,25814600.0,BRL
ABEV3F,Ambev SA,BMFBOVESPA,Consumer Non-Durables,Beverages: Alcoholic,12.04,12.15,11.86,11.92,-0.5008347245409056,188930489411.0,25872.0,BRL
ABGD39,abrdn Gold ETF Trust Shs Unsponsored Brazilian Depositary Receipt Repr 0.5 Sh,BMFBOVESPA,Miscellaneous,Investment Trusts/Mutual Funds,98.54,98.54,98.09,98.09,1.33264462809918,,100.0,BRL
ABTT34,Abbott Laboratories Shs Unsponsored Brazilian Depository Receipts Repr 0.083333333 S,BMFBOVESPA,Health Technology,Medical Specialties,59.76,59.76,57.24,59.22,2.776813606386674,1240913796842.9487,113.0,BRL
ABUD34,Anheuser-Busch InBev SA/NV ADR Unsponsored Brazilian Depository Receipt Repr 0.1667 ADR,BMFBOVESPA,Consumer Non-Durables,Beverages: Alcoholic,53.45,53.45,53.45,53.45,1.519468186134861,630016223896.1536,1.0,BRL
ACNB34,Accenture PLC Shs Unsponsored Brazilian Depository Receipt Repr 1 Sh,BMFBOVESPA,Technology Services,Information Technology Services,1321.0,1321.0,1313.0,1313.0,1.2976592757178738,810873003344.0171,4.0,BRL
ACWI11,Trend ETF Bloomberg All Countries Classe De indice R LTD A,BMFBOVESPA,Miscellaneous,Investment Trusts/Mutual Funds,15.55,15.6,15.48,15.57,0.4516129032258083,,16365.0,BRL
ACWX39,iShares MSCI ACWI ex US ETF Shs Unsponsored Brazilian Depositary Receipt Repr 0.16666666 Sh,BMFBOVESPA,,,58.86,58.94,58.4,58.94,0.16995241332425953,,145.0,BRL
ADBE34,Adobe Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.02 Sh,BMFBOVESPA,Technology Services,Packaged Software,37.06,37.65,36.6,37.65,2.6165167620605096,768596125048.0769,6382.0,BRL
ADMF3F,CIABRASF Cia Brasileira de Servicos Financeiros SA,BMFBOVESPA,Finance,Investment Managers,49.14,49.14,49.14,49.14,5.450643776824032,,7.0,BRL
ADPR34,"Automatic Data Processing, Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.04166667 Sh",BMFBOVESPA,Technology Services,Packaged Software,63.35,63.35,63.35,63.35,0.0,631026465865.3845,100.0,BRL
AERI3,Aeris Industria e Comercio de Equipamentos para Geracao deEnergia S.A.,BMFBOVESPA,Producer Manufacturing,Electrical Products,4.06,4.1,4.04,4.08,-0.48780487804877015,254692787.0,53300.0,BRL
AERI3F,Aeris Industria e Comercio de Equipamentos para Geracao deEnergia S.A.,BMFBOVESPA,Producer Manufacturing,Electrical Products,4.02,4.09,4.02,4.02,-0.24813895781639392,254692787.0,3220.0,BRL
AETH39,21Shares Ltd ETP Unsponsored Brazilian Depositary Receipt Repr 0.33333333 ETP,BMFBOVESPA,,,82.15,82.15,82.15,82.15,4.5165394402035774,,1.0,BRL
AFHF11,AF Invest Real Estate Multiestrategia Fundo de Investimento Imobiliario Responsabilidade Limitada,BMFBOVESPA,,,10.0,10.08,10.0,10.0,0.0,,323.0,BRL
AFHI11,AF Invest CRI Fundo de Investimento Imobiliario Recebiveis Imobiliarios,BMFBOVESPA,,,93.7,93.95,93.37,93.9,0.5999571459181511,,3844.0,BRL
AFLT3,Afluente Transmissao De Energia Eletrica SA,BMFBOVESPA,Utilities,Electric Utilities,7.3,7.3,7.3,7.3,-1.2178619756427584,460518305.0,600.0,BRL
AFLT3F,Afluente Transmissao De Energia Eletrica SA,BMFBOVESPA,Utilities,Electric Utilities,7.3,7.3,7.29,7.29,0.5517241379310349,460518305.0,13.0,BRL
AGRI11,Agri BB ETF Iagro FFS B3 Fundo de Indice ETF,BMFBOVESPA,Miscellaneous,Investment Trusts/Mutual Funds,42.44,43.71,42.44,42.71,-0.7897793263646837,,245.0,BRL
AGRO3,BrasilAgro Cia Brasileira de Propriedades Agricolas,BMFBOVESPA,Finance,Real Estate Development,20.38,20.4,20.19,20.3,-0.5389514943655043,2022881345.0,211500.0,BRL
AGRO3F,BrasilAgro Cia Brasileira de Propriedades Agricolas,BMFBOVESPA,Finance,Real Estate Development,20.4,20.4,20.22,20.4,0.49261083743841316,2022881345.0,8687.0,BRL
AGRX11,Fundo de Investimento nas Cadeias Produtivas Agroindustriais Exes Araguaia Fiagro Imobiliario,BMFBOVESPA,,,8.19,8.27,8.18,8.22,0.4889975550122362,,19455.0,BRL
AGXY3,Agrogalaxy Participacoes SA,BMFBOVESPA,Distribution Services,Wholesale Distributors,5.69,5.78,5.67,5.77,1.5845070422535186,77099702.0,11400.0,BRL
AGXY3F,Agrogalaxy Participacoes SA,BMFBOVESPA,Distribution Services,Wholesale Distributors,5.75,5.75,5.65,5.65,0.0,77099702.0,4388.0,BRL
AHEB3,Sao Paulo Turismo SA,BMFBOVESPA,Commercial Services,Miscellaneous Commercial Services,27.75,27.75,27.75,27.75,-7.592407592407596,240876587.0,100.0,BRL
AHEB3F,Sao Paulo Turismo SA,BMFBOVESPA,Commercial Services,Miscellaneous Commercial Services,27.03,27.03,27.03,27.03,-8.651571476850282,240876587.0,34.0,BRL
AHEB5F,Sao Paulo Turismo SA Pfd A,BMFBOVESPA,Commercial Services,Miscellaneous Commercial Services,57.0,57.0,57.0,57.0,-2.564102564102564,240876587.0,1.0,BRL
AHEB6F,Sao Paulo Turismo SA Pfd B,BMFBOVESPA,Commercial Services,Miscellaneous Commercial Services,55.0,55.0,55.0,55.0,37.5,240876587.0,1.0,BRL
