symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
AALR,General Co. for Land Reclamation Development & Reconstruction,EGX,Finance,Real Estate Development,218.57,233.0,218.57,222.0,1.5692913025575361,1422890798.0,181114,EGP
ABUK,Abou Kir Fertilizers & Chemical Industries Co.,EGX,Process Industries,Chemicals: Agricultural,87.01,87.8,78.0,84.85,-2.4824732789334685,109795810174.0,2617038,EGP
ACAMD,Arab Co. for Asset Management & Development,EGX,Finance,Investment Managers,1.97,2.02,1.95,1.99,1.0152284263959401,2608436349.0,52007061,EGP
ACAP,A Capital Holding,EGX,Finance,Real Estate Development,7.74,7.74,7.59,7.62,-1.423027166882281,5659950419.0,629973,EGP
ACFR,Alexandria Company For Refractories,EGX,,,10.0,10.0,10.0,10.0,0.0,,0,EGP
ACGC,Arab Cotton Ginning Co.,EGX,Process Industries,Agricultural Commodities/Milling,8.48,8.54,8.41,8.49,0.11792452830188427,2245638604.0,815191,EGP
ACTF,Act Financial,EGX,Finance,Investment Banks/Brokers,2.79,2.82,2.78,2.81,0.7168458781362014,3187773853.0,7499751,EGP
ADCI,Arab Pharmaceuticals,EGX,Health Technology,Pharmaceuticals: Major,193.44,213.0,190.0,203.46,5.179900744416878,2321280029.0,94837,EGP
ADIB,Abu Dhabi Islamic Bank-Egypt,EGX,Finance,Regional Banks,46.38,46.38,44.7,45.85,-1.1427339370418308,69570001602.0,1895113,EGP
ADPC,Arab Dairy Products Co. Arab Dairy - Panda,EGX,Consumer Non-Durables,Food: Meat/Fish/Dairy,3.75,3.79,3.73,3.74,-0.795755968169756,1875000000.0,916352,EGP
ADRI,Arab Development & Real Estate Investment,EGX,Finance,Real Estate Development,7.48,7.69,7.48,7.51,0.401069518716569,,1030454,EGP
AFDI,Alahly For Development & Investment,EGX,Finance,Investment Banks/Brokers,36.99,37.3,36.55,36.93,-0.16220600162206616,665820030.0,181210,EGP
AFMC,Alexandria Flour Mills Co.,EGX,Retail Trade,Food Retail,69.9,79.8,68.2,77.6,11.015736766809711,2299135265.0,1087625,EGP
AIDC,Arabia for Investment and Development,EGX,Finance,Regional Banks,0.479,0.494,0.479,0.49,2.2964509394572046,,48220223,EGP
AIFI,Atlas for Investment & Food Industries SAE,EGX,Process Industries,Agricultural Commodities/Milling,1.72,1.73,1.68,1.72,0.0,1980211342.0,5786213,EGP
AIH,Arabia Investments Holding SAE,EGX,Finance,Financial Conglomerates,0.341,0.358,0.339,0.353,3.5190615835776993,531321901.0,110825919,EGP
AJWA,Ajwa for Food Industries Co. Egypt,EGX,Consumer Non-Durables,Food: Specialty/Candy,131.65,136.9,130.52,132.25,0.4557538928978308,2645546211.0,200422,EGP
ALCN,Alexandria Containers & Goods,EGX,Transportation,Other Transportation,30.5,30.5,29.7,30.29,-0.6885245901639372,90874958496.0,1905917,EGP
ALEX,Alexandria Cement Co.,EGX,Non-Energy Minerals,Construction Materials,18.55,20.0,18.0,19.49,5.067385444743923,5038324280.0,13051,EGP
ALUM,Arab Aluminum Co. SAE,EGX,Non-Energy Minerals,Aluminum,21.45,23.2,20.95,23.0,7.22610722610723,909271983.0,2014167,EGP
AMER,Amer Group Holding,EGX,Finance,Real Estate Development,2.33,2.45,2.32,2.33,0.0,2103500153.0,77759084,EGP
AMES,Alexandria New Medical Center Co.,EGX,Health Services,Hospital/Nursing Management,56.06,62.44,55.03,57.28,2.176239743132356,13711076541.0,701514,EGP
AMIA,Arab Moltaqa Investments Company,EGX,Finance,Finance/Rental/Leasing,8.4,8.62,8.05,8.38,-0.238095238095233,4288792481.0000005,8214884,EGP
AMOC,Alexandria Mineral Oils Co.,EGX,Energy Minerals,Oil Refining/Marketing,8.64,8.77,8.57,8.6,-0.4629629629629736,11158560443.0,9463317,EGP
AMPI,AL Moasher Pay for Electronic Payment and Collection (S.A.E),EGX,Technology Services,Packaged Software,2.59,2.62,2.56,2.58,0.3891050583657678,77503226.0,289442,EGP
ANCC,ALNAHDA Industrial Co.,EGX,,,10.0,10.0,10.0,10.0,0.0,,0,EGP
APPC,Advanced Pharmaceutical Packaging Co.,EGX,Process Industries,Containers/Packaging,1.22,1.25,1.22,1.23,0.8196721311475417,19043202.0,46751,EGP
