symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
ABOU,Abou Family Residence Ltd,TASE,Health Technology,Medical Specialties,639.3,644.0,639.3,644.0,0.7351791021429761,399785628.0,1000,ILA
ABRA,Abra Information Technologies Ltd,TASE,Technology Services,Packaged Software,381.6,381.6,373.0,376.6,-1.3102725366876309,446805467.0,13985,ILA
ACCL,Accel Solutions Group Ltd.,TASE,Industrial Services,Environmental Services,194.3,197.5,188.2,188.6,-2.9336078229542033,375777537.0,372544,ILA
ACKR,Ackerstein Group Ltd,TASE,Non-Energy Minerals,Construction Materials,720.1,740.0,706.2,734.5,1.9997222607971081,2077492078.0000002,365687,ILA
ACRO,KVUTZAT ACRO LTD,TASE,Finance,Real Estate Development,4150.0,4150.0,4055.0,4100.0,-1.2048192771084338,2617236071.0,65996,ILA
ADGR,Adgar Investment & Development Ltd.,TASE,Finance,Real Estate Development,395.0,395.0,385.5,388.3,-1.246185147507624,742870976.0,22153,ILA
AFHL,AFCON Holdings Ltd,TASE,Electronic Technology,Electronic Equipment/Instruments,53480.0,55730.0,52590.0,53790.0,3.5020203963825285,3152270544.0,28258,ILA
AFPR,AFI Properties Ltd,TASE,Finance,Real Estate Development,18740.0,18740.0,18160.0,18450.0,-1.5474919957310567,7763504268.0,10357,ILA
AFRE,Africa Israel Residences Ltd,TASE,Finance,Real Estate Development,25100.0,25290.0,24480.0,24660.0,-1.7529880478087652,3179982112.0,9693,ILA
AGRD,Autonomous Guard Ltd.,TASE,Finance,Investment Managers,855.6,898.0,821.3,877.5,2.559607293127627,63046126.0,10667,ILA
ALAR,ALARUM TECHNOLOGIES LTD,TASE,Technology Services,Information Technology Services,45.0,50.3,45.0,49.5,10.0,33069715.000000004,1618333,ILA
ALBA,Albaad Massuot Yitzhak Ltd.,TASE,Consumer Non-Durables,Household/Personal Care,3272.0,3277.0,3209.0,3234.0,-1.1613691931540342,610146442.0,6716,ILA
ALHE,Alony Hetz Properties & Investments Ltd.,TASE,Finance,Real Estate Development,3387.0,3429.0,3333.0,3365.0,-1.608187134502924,7735385146.0,222298,ILA
ALL,Alltrade Recycling Ltd.,TASE,Industrial Services,Environmental Services,3397.0,3397.0,3000.0,3028.0,-10.862525758021784,593625784.0,3588,ILA
ALLT,Allot Ltd.,TASE,Electronic Technology,Computer Communications,2303.0,2312.0,2282.0,2292.0,-0.4776378636561007,1129836388.3682969,7767,ILA
ALMA,Almogim Holdings Ltd,TASE,Finance,Real Estate Development,1043.0,1043.0,1007.0,1022.0,-1.5414258188824663,498191421.0,7172,ILA
ALMD,Allmed Solutions Ltd.,TASE,Health Technology,Pharmaceuticals: Other,31.2,31.7,31.0,31.3,0.32051282051282504,31588691.0,31626,ILA
ALMY,Alma Yesodot Ltd,TASE,Commercial Services,Miscellaneous Commercial Services,1750.0,1750.0,1670.0,1735.0,-0.8571428571428572,304760814.0,67,ILA
ALRPR,Alrov Properties & Lodgings Ltd,TASE,Finance,Real Estate Development,25300.0,25800.0,25300.0,25420.0,0.47430830039525695,5212687523.0,103,ILA
ALTF,ALTSHULER SHAHAM FINANCIAL LTD,TASE,Finance,Investment Managers,707.5,714.0,685.0,700.8,-1.889962200755985,1418778073.0,527136,ILA
ALUMA,Aluma Infrastructure Fund (2020) Ltd.,TASE,Miscellaneous,Investment Trusts/Mutual Funds,107.6,108.8,105.0,106.2,-1.1173184357541925,329473525.0,1007357,ILA
