symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
ABSA,ABSA Bank Kenya PLC,NSEKE,Finance,Regional Banks,22.5,22.7,22.45,22.65,0.22123893805308475,122209562988.0,4430304,KES
AMAC,Africa Mega Agricorp PLC,NSEKE,Distribution Services,Food Distributors,70.0,70.0,70.0,70.0,7.6923076923076925,836426500.0,7,KES
BAT,British American Tobacco Kenya PLC,NSEKE,Consumer Non-Durables,Tobacco,450.0,450.0,446.0,450.0,1.1235955056179776,44950000000.0,12893,KES
BKG,BK Group Plc,NSEKE,Finance,Major Banks,40.5,42.95,40.5,41.25,-4.069767441860465,36632615111.0,1240,KES
BOC,B.O.C Kenya Ltd,NSEKE,Process Industries,Chemicals: Specialty,120.0,132.0,120.0,130.0,5.691056910569105,2582240225.0,747,KES
BRIT,Britam Holdings PLC,NSEKE,Finance,Multi-Line Insurance,8.5,8.7,8.5,8.52,0.23529411764705382,21500108831.0,270221,KES
CARB,Carbacid Investments Ltd,NSEKE,Process Industries,Chemicals: Specialty,26.0,27.0,26.0,26.5,-1.8518518518518516,6842776022.0,2226,KES
CGEN,Car & General (Kenya) PLC,NSEKE,Distribution Services,Wholesale Distributors,53.0,55.75,53.0,54.75,3.7914691943127963,4230899166.0,20563,KES
CIC,CIC Insurance Group PLC,NSEKE,Finance,Multi-Line Insurance,4.54,4.79,4.5,4.65,-1.0638297872340388,13061999973.0,359400,KES
COOP,Co-operative Bank of Kenya Ltd.,NSEKE,Finance,Regional Banks,20.5,20.9,20.05,20.5,0.0,117636840568.0,403883,KES
CRWN,Crown Paints Kenya PLC,NSEKE,Process Industries,Industrial Specialties,50.5,55.5,50.5,55.5,11.0,7189280975.0,206,KES
CTUM,Centum Investment Company PLC,NSEKE,Finance,Financial Conglomerates,14.85,14.9,14.4,14.5,-2.684563758389264,9881810575.0,56200,KES
DTK,Diamond Trust Bank Kenya Ltd.,NSEKE,Finance,Regional Banks,104.0,105.0,103.0,104.0,0.0,29008731766.0,18307,KES
EABL,East African Breweries Plc,NSEKE,Distribution Services,Food Distributors,220.25,225.0,219.75,222.0,0.7945516458569807,173146529480.0,443818,KES
EGAD,Eaagads Ltd,NSEKE,Consumer Non-Durables,Food: Specialty/Candy,20.3,20.3,20.3,20.3,-0.7334963325183305,643140030.0,366,KES
EQTY,Equity Group Holdings Limited,NSEKE,Finance,Regional Banks,59.5,60.0,59.0,59.5,0.847457627118644,224533650879.0,2363987,KES
EVRD,Eveready East Africa PLC,NSEKE,Producer Manufacturing,Electrical Products,1.37,1.37,1.29,1.34,-4.285714285714274,270899992.0,24682,KES
FTGH,Flame Tree Group Holdings Ltd,NSEKE,Producer Manufacturing,Miscellaneous Manufacturing,1.62,1.62,1.48,1.56,-0.6369426751592362,263519157.0,35923,KES
GLD,NEW GOLD ISSUER LTD.,NSEKE,Miscellaneous,Investment Trusts/Mutual Funds,5900.0,5900.0,4900.0,4900.0,-1.2096774193548387,,1439,KES
HAFR,Home Afrika Ltd.,NSEKE,Consumer Durables,Homebuilding,1.18,1.23,1.09,1.2,0.0,478201293.0,394491,KES
HFCK,HF Group PLC,NSEKE,Finance,Finance/Rental/Leasing,10.95,10.95,10.1,10.4,-5.022831050228302,16538409149.0,48498,KES
IMH,I&M Group Plc,NSEKE,Finance,Regional Banks,43.0,44.0,43.0,44.0,2.3255813953488373,71684487766.0,77326,KES
JUB,Jubilee Holdings Ltd,NSEKE,Finance,Multi-Line Insurance,314.5,324.0,314.5,320.0,1.7488076311605723,23517473507.0,126,KES
KAPC,Kapchorua Tea Kenya PLC,NSEKE,Process Industries,Agricultural Commodities/Milling,249.0,249.0,233.25,233.25,-9.942084942084941,4052831939.0,1552,KES
KCB,KCB Group PLC,NSEKE,Finance,Regional Banks,58.5,58.5,57.75,58.25,0.0,187184199158.0,2110423,KES
KEGN,Kenya Electricity Generating Company PLC,NSEKE,Utilities,Electric Utilities,10.05,10.05,9.62,10.0,8.695652173913052,64626316590.0,6133123,KES
KNRE,Kenya Re-Insurance Corporation Ltd.,NSEKE,Finance,Multi-Line Insurance,3.0,3.0,2.97,3.0,0.0,16798776855.0,2056937,KES
KPLC,Kenya Power & Lighting Company Plc,NSEKE,Utilities,Electric Utilities,13.45,13.65,12.9,13.3,-1.115241635687722,26247231329.0,1874559,KES
KQ,Kenya Airways PLC,NSEKE,Transportation,Airlines,3.81,3.81,3.72,3.72,-1.5873015873015772,21103883619.0,274508,KES
KUKZ,Kakuzi PLC,NSEKE,Process Industries,Agricultural Commodities/Milling,400.0,415.0,400.0,415.0,0.0,8330000162.0,3,KES
LBTY,Liberty Kenya Holdings Ltd.,NSEKE,Finance,Multi-Line Insurance,10.9,10.9,10.0,10.0,-8.256880733944957,5839211759.0,17811,KES
LIMT,Limuru Tea Plc,NSEKE,Process Industries,Agricultural Commodities/Milling,375.0,375.0,375.0,375.0,-1.3157894736842104,904200036.0,200,KES
LKL,Longhorn Publishers Limited,NSEKE,Consumer Services,Publishing: Books/Magazines,3.1,3.1,2.87,3.0,-3.5369774919614105,781902776.0,1439,KES
NBV,Nairobi Business Ventures Ltd.,NSEKE,Consumer Non-Durables,Apparel/Footwear,1.68,1.68,1.55,1.55,-3.1250000000000027,2165936000.0,227344,KES
NCBA,NCBA Group PLC,NSEKE,Finance,Major Banks,92.5,92.5,90.0,91.5,0.5494505494505495,151159916992.0,274975,KES
NMG,Nation Media Group Limited,NSEKE,Consumer Services,Publishing: Newspapers,13.45,13.8,13.05,13.8,2.602230483271386,2597528735.0,6905,KES
NSE,Nairobi Securities Exchange PLC,NSEKE,Finance,Investment Banks/Brokers,14.65,14.95,14.0,14.95,3.103448275862064,3801686525.0,33250,KES
OCH,Olympia Capital Holdings Limited,NSEKE,Producer Manufacturing,Building Products,8.22,8.22,7.5,7.5,-2.5974025974025996,299200001.0,17264,KES
PORT,East African Portland Cement Co. Ltd.,NSEKE,Non-Energy Minerals,Construction Materials,57.5,60.0,54.0,60.0,1.694915254237288,5175000000.0,5349,KES
SASN,Sasini PLC,NSEKE,Process Industries,Agricultural Commodities/Milling,18.55,18.7,18.55,18.7,0.5376344086021391,4253234917.0,562,KES
SBIC,Stanbic Holdings Plc,NSEKE,Finance,Regional Banks,199.0,199.0,196.0,197.0,-0.5050505050505051,78372512108.0,497085,KES
SCAN,WPP Scangroup Plc,NSEKE,Commercial Services,Advertising/Marketing Services,2.9,2.9,2.8,2.85,-1.7241379310344769,1248930799.0,153595,KES
SCBK,Standard Chartered Bank Kenya Ltd,NSEKE,Finance,Regional Banks,295.0,299.0,292.0,298.0,0.6756756756756757,111469181824.0,9339,KES
SCOM,Safaricom PLC,NSEKE,Communications,Wireless Telecommunications,28.5,28.5,28.05,28.5,0.8849557522123894,1113300281520.0,40614269,KES
SGL,Standard Group PLC,NSEKE,Consumer Services,Publishing: Newspapers,6.2,6.2,5.92,6.1,0.3289473684210456,470775209.0,8577,KES
SKL,Shri Krishana Overseas Ltd,NSEKE,Process Industries,Containers/Packaging,7.8,8.0,7.8,8.0,0.0,,1555,KES
SLAM,Sanlam Kenya PLC,NSEKE,Finance,Multi-Line Insurance,8.6,9.0,8.6,9.0,0.0,5796000000.0,904,KES
SMER,Sameer Africa PLC,NSEKE,Finance,Real Estate Development,12.5,14.0,12.5,13.75,10.0,3701954069.0,22571,KES
SMWF,Satrix MSCI World ETF,NSEKE,Miscellaneous,Investment Trusts/Mutual Funds,860.0,861.0,845.0,846.0,0.4750593824228029,,221,KES
TOTL,TotalEnergies Marketing Kenya Plc,NSEKE,Retail Trade,Specialty Stores,34.25,37.6,34.25,37.6,9.781021897810223,21530362160.0,117261,KES
TPSE,TPS Eastern Africa PLC,NSEKE,Consumer Services,Hotels/Resorts/Cruise lines,17.0,17.0,16.4,16.4,-0.6060606060606146,3005872696.0,426,KES
UCHM,Uchumi Supermarkets PLC,NSEKE,Retail Trade,Food Retail,0.38,0.38,0.35,0.35,-5.405405405405411,127735867.0,131642,KES
UMME,Umeme Ltd.,NSEKE,Utilities,Electric Utilities,7.96,8.2,7.7,8.0,0.0,14680767364.877573,272074,KES
UNGA,Unga Group PLC,NSEKE,Consumer Non-Durables,Food: Specialty/Candy,23.0,25.0,23.0,25.0,8.695652173913043,1729947881.0,7064,KES
WTK,Williamson Tea Kenya PLC,NSEKE,Process Industries,Agricultural Commodities/Milling,196.0,196.0,190.0,193.0,1.5789473684210527,6751122720.0,2555,KES
XPRS,Express Kenya Ltd,NSEKE,Transportation,Other Transportation,7.0,7.38,6.9,7.26,-2.9411764705882435,334934583.0,58240,KES
