symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
AAYAN,A'ayan Leasing & Investment Co.,KSE,Finance,Real Estate Development,283.0,288.0,282.0,286.0,0.7042253521126761,182240650.0,2616812,KWF
AAYANRE,A'ayan Real Estate Company,KSE,Finance,Real Estate Development,174.0,177.0,170.0,177.0,4.117647058823529,73319300.0,325992,KWF
ABAR,"Burgan Co. for Well Drilling, Trading & Maintenance SAK",KSE,Industrial Services,Contract Drilling,181.0,189.0,181.0,183.0,-0.5434782608695652,46540134.0,109791,KWF
ABK,Al Ahli Bank Of Kuwait,KSE,Finance,Major Banks,261.0,262.0,260.0,262.0,0.7692307692307693,711029578.0,204203,KWF
ACICO,ACICO Industries Co. (K.S.C),KSE,Non-Energy Minerals,Construction Materials,570.0,600.0,558.0,590.0,4.424778761061947,167076012.0,16320516,KWF
AINS,Al-Ahleia Insurance Co.,KSE,Finance,Property/Casualty Insurance,805.0,805.0,720.0,725.0,-3.718459495351926,214191078.0,35042,KWF
ALAQARIA,Kuwait Real Estate Holding Co. KSHC,KSE,Finance,Real Estate Development,68.4,68.4,64.0,64.1,-2.286585365853659,12416462.0,636181,KWF
ALDEERA,Al-Deera Holding Company,KSE,Finance,Financial Conglomerates,578.0,580.0,560.0,568.0,-0.17574692442882248,64619095.0,2629924,KWF
ALENMA,Al-Enmaa Real Estate Company KSCP,KSE,Finance,Real Estate Development,114.0,115.0,113.0,114.0,-0.8695652173913043,40311491.0,1365695,KWF
ALFTAQA,Action Energy Company K.S.C.C.,KSE,Industrial Services,Contract Drilling,267.0,270.0,266.0,266.0,-0.7462686567164178,151255494.0,1801401,KWF
ALG,Ali Alghanim Sons Automotive Company,KSE,Distribution Services,Wholesale Distributors,888.0,889.0,878.0,878.0,-0.5662514156285391,346907316.0,658338,KWF
ALIMTIAZ,Alimtiaz Group Holding Company (K.S.C.P),KSE,Finance,Investment Managers,74.8,75.0,73.9,74.9,0.5369127516778599,70619588.0,5314662,KWF
ALKOUT,Al-Kout Industrial Projects Co. KSC,KSE,Process Industries,Chemicals: Specialty,845.0,845.0,796.0,796.0,-4.784688995215311,84353067.0,1302,KWF
ALMANAR,Al Manar Financing & Leasing Company K.S.C.,KSE,Finance,Finance/Rental/Leasing,114.0,114.0,110.0,113.0,0.8928571428571428,29275983.0,540385,KWF
ALOLA,First Investment Co. K.S.C.P.,KSE,Finance,Investment Managers,129.0,133.0,128.0,133.0,3.10077519379845,57085284.0,9663345,KWF
ALSAFAT,Al Safat Investment Co. KSCC,KSE,Finance,Real Estate Development,200.0,205.0,197.0,200.0,2.0408163265306123,54030131.0,28005141,KWF
ALTIJARIA,Commercial Real Estate Co.,KSE,Miscellaneous,Investment Trusts/Mutual Funds,194.0,196.0,191.0,194.0,1.0416666666666665,385629834.0,2958495,KWF
AMAR,Amar Finance & Leasing Co. KSCC,KSE,Finance,Real Estate Development,103.0,105.0,102.0,103.0,0.0,20499309.0,488519,KWF
AQAR,Aqar Real Estate Investments Company (K.S.C.P),KSE,Finance,Real Estate Development,94.2,98.5,94.1,95.7,1.8085106382978753,19930314.0,4402303,KWF
ARABREC,Al-Arabiya Real Estate Co.,KSE,Finance,Real Estate Development,183.0,185.0,180.0,183.0,0.5494505494505495,75896376.0,666787,KWF
AREEC,Ajial Real Estate Entertainment Co.(K.S.C.),KSE,Finance,Financial Conglomerates,305.0,305.0,305.0,305.0,-1.2944983818770228,64665574.00000001,357000,KWF
ARGAN,Alargan International Real Estate Co.,KSE,Consumer Services,Hotels/Resorts/Cruise lines,126.0,131.0,126.0,130.0,2.3622047244094486,35482140.0,2686018,KWF
ARKAN,Arkan Al-Kuwait Real Estate Co. (K.S.C.),KSE,Finance,Real Estate Development,297.0,309.0,297.0,307.0,4.778156996587031,92797464.0,13707180,KWF
ARZAN,Arzan Financial Group for Financing and Investment (KPSC),KSE,Finance,Investment Managers,342.0,343.0,340.0,343.0,0.29239766081871343,325501197.0,370802,KWF
ASC,Automated Systems Co. KSCC,KSE,Technology Services,Information Technology Services,720.0,720.0,620.0,700.0,-3.0470914127423825,73500001.0,1981043,KWF
ASIYA,Asiya Capital Investments Company (K.S.C.P),KSE,Finance,Financial Conglomerates,40.9,41.4,40.4,40.8,0.49261083743841316,32902532.0,4367108,KWF
ATC,Advanced Technology Co.,KSE,Distribution Services,Medical Distributors,614.0,635.0,614.0,635.0,3.420195439739414,134442004.0,4530,KWF
AZNOULA,Shamal Az-Zour Al-Oula Power and Water Company,KSE,Utilities,Electric Utilities,142.0,143.0,141.0,142.0,-0.6993006993006993,157300007.0,433840,KWF
