symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
ABBEYBANK,Abbey Bank Plc,NSENG,Finance,Finance/Rental/Leasing,7.15,7.15,7.15,7.15,0.0,103714291471.0,444114,NGN
ABCTRANS,ABC Transport PLC,NSENG,Transportation,Other Transportation,4.5,4.5,4.5,4.5,0.0,10766798218.0,396424,NGN
ACADEMY,Academy Press PLC,NSENG,Consumer Services,Publishing: Books/Magazines,5.2,5.2,5.2,5.2,0.0,4717439890.0,71698,NGN
ACCESSCORP,Access Holdings Plc,NSENG,Finance,Major Banks,29.8,29.8,28.15,28.25,-2.586206896551724,1544812781250.0,21580426,NGN
AFRINSURE,African Alliance Insurance PLC,NSENG,Finance,Life/Health Insurance,0.2,0.2,0.2,0.2,0.0,4117000060.9999995,0,NGN
AFRIPRUD,Africa Prudential Plc,NSENG,Technology Services,Packaged Software,10.45,10.45,10.45,10.45,0.0,41799999237.0,836790,NGN
AFROMEDIA,Afromedia PLC,NSENG,Commercial Services,Advertising/Marketing Services,0.24,0.24,0.24,0.24,0.0,1065371226.0,0,NGN
AIICO,Aiico Insurance PLC,NSENG,Finance,Life/Health Insurance,3.71,3.99,3.59,3.7,-0.2695417789757355,135805580342.0,4895470,NGN
AIRTELAFRI,Airtel Africa Plc,NSENG,Communications,Wireless Telecommunications,6300.0,6300.0,6300.0,6300.0,0.0,23666969344134.453,4815,NGN
ARADEL,Aradel Holdings Plc,NSENG,Energy Minerals,Integrated Oil,1414.0,1414.0,1414.0,1414.0,0.0,6143610443359.0,1669758,NGN
AUSTINLAZ,Austin Laz & Co. Plc,NSENG,Consumer Durables,Electronics/Appliances,2.05,2.05,2.05,2.05,3.015075376884414,2148921381.0,605581,NGN
AVACAP,Ava Capital Plc,NSENG,,,5.1,5.1,5.0,5.05,-0.9803921568627416,25499999523.0,1400774,NGN
BERGER,Berger Paints Nigeria PLC,NSENG,Process Industries,Industrial Specialties,147.6,147.6,147.6,147.6,0.0,42777943847.0,25406,NGN
BETAGLAS,Beta Glass Plc.,NSENG,Process Industries,Containers/Packaging,465.0,465.0,465.0,465.0,0.0,278984361877.0,27975,NGN
BUACEMENT,BUA Cement Plc,NSENG,Non-Energy Minerals,Construction Materials,278.1,278.1,278.1,278.1,0.0,9417677462551.0,358785,NGN
BUAFOODS,BUA Foods PLC,NSENG,Process Industries,Agricultural Commodities/Milling,760.6,760.6,760.6,760.6,0.0,13690799560547.0,85671,NGN
CADBURY,Cadbury Nigeria PLC,NSENG,Consumer Non-Durables,Food: Specialty/Candy,58.45,58.45,58.45,58.45,0.0,133282626312.0,524107,NGN
CAP,Chemical & Allied Products Plc,NSENG,Process Industries,Industrial Specialties,101.5,101.5,101.5,101.5,0.0,82696871002.0,36577,NGN
CAVERTON,Caverton Offshore Support Group Plc,NSENG,Transportation,Airlines,3.95,3.95,3.95,3.95,0.0,13234513734.0,374584,NGN
CHAMPION,Champion Breweries PLC,NSENG,Consumer Non-Durables,Beverages: Alcoholic,10.0,10.0,10.0,10.0,0.0,113236113281.0,637407,NGN
CHAMS,Chams Holding Company Plc,NSENG,Technology Services,Information Technology Services,3.5,3.7,3.31,3.4,-7.3569482288828345,33030000687.0,28500746,NGN
