symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
ABQK,AHLI BANK Q.P.S.C.,QSE,Finance,Regional Banks,4.077,4.077,4.05,4.051,-0.7107843137254881,10408676466,27900,QAR
AHCS,Aamal Company Q.S.C.,QSE,Distribution Services,Medical Distributors,0.776,0.78,0.774,0.778,-0.2564102564102566,4914000201,504231,QAR
AKHI,Al Khaleej Takaful Group,QSE,Finance,Property/Casualty Insurance,2.925,2.976,2.92,2.957,-0.7051712558764389,760220955,509576,QAR
BEMA,Damaan Islamic Insurance Company (Beema),QSE,Finance,Multi-Line Insurance,4.389,4.39,4.389,4.39,-0.20459195271653424,879800034,1950,QAR
BLDN,Baladna Q.P.S.C,QSE,Process Industries,Agricultural Commodities/Milling,1.3,1.311,1.287,1.303,0.0,2793612538,8319177,QAR
BRES,Barwa Real Estate Co.,QSE,Finance,Real Estate Development,2.351,2.368,2.346,2.368,0.33898305084745795,9183341877,4233490,QAR
CBQK,Commercial Bank (Q.S.C.),QSE,Finance,Investment Banks/Brokers,4.096,4.096,4.045,4.09,1.012595702642615,16387329213,2675301,QAR
DBIS,Dlala Brokerage and Investment Holding Company,QSE,Finance,Investment Banks/Brokers,1.476,1.476,1.366,1.38,-6.693711967545651,281582674,4872175,QAR
DHBK,Doha Bank,QSE,Finance,Major Banks,2.954,3.0,2.941,2.951,-4.775734107776706,9608347289,6162747,QAR
DOHI,Doha Insurance Co.,QSE,Finance,Property/Casualty Insurance,2.858,2.89,2.838,2.88,0.0,1440000057,232936,QAR
DUBK,Dukhan Bank Q.P.S.C.,QSE,Finance,Regional Banks,3.361,3.361,3.337,3.339,0.0,17348609181,580013,QAR
ERES,Ezdan Holding Group,QSE,Finance,Real Estate Development,0.854,0.864,0.853,0.859,0.8215962441314562,22599271660,5024275,QAR
FALH,Al Faleh Educational Holding Co.,QSE,Commercial Services,Miscellaneous Commercial Services,0.588,0.591,0.586,0.59,0.0,141599994,625513,QAR
GISS,Gulf International Services QSC,QSE,Energy Minerals,Oil & Gas Production,2.132,2.17,2.111,2.135,0.14071294559097886,3962127273,1069943,QAR
GWCS,Gulf Warehousing Co.,QSE,Transportation,Other Transportation,2.284,2.323,2.278,2.284,-0.6524575902566387,1347286420,868269,QAR
IGRD,Estithmar Holding Q.P.S.C,QSE,Finance,Financial Conglomerates,4.455,4.455,4.42,4.42,0.0,19860517130,1167934,QAR
IHGS,Inma Holding Company,QSE,Finance,Investment Banks/Brokers,2.935,2.935,2.861,2.925,-0.7128309572301544,166849093,249638,QAR
IQCD,Industries of Qatar Co.,QSE,Non-Energy Minerals,Steel,11.01,11.11,10.97,11.1,0.909090909090906,66550000000,1257897,QAR
MARK,AlRayan Bank,QSE,Finance,Investment Banks/Brokers,2.056,2.059,2.042,2.05,-0.1947419668938658,19102199078,22088812,QAR
MCCS,Mannai Corporation Q.P.S.C.,QSE,Technology Services,Information Technology Services,5.45,5.45,5.335,5.387,-0.24074074074075533,2463436768,633059,QAR
MCGS,Medicare Group QSC,QSE,Health Services,Hospital/Nursing Management,5.655,5.773,5.655,5.68,0.4420866489831913,1591548834,210003,QAR
MERS,Almeera Consumer Goods Co. QSC,QSE,Retail Trade,Specialty Stores,13.4,13.45,13.4,13.41,0.0,2845333669,96607,QAR
MEZA,Meeza QSTP LLC,QSE,Technology Services,Data Processing Services,3.349,3.35,3.332,3.34,-0.26873693639893526,2173433940,587952,QAR
MFMS,Mosanada Facilities Management Services Q.P.S.C.,QSE,Commercial Services,Miscellaneous Commercial Services,8.703,8.703,8.703,8.703,0.0,609210000,296,QAR
MHAR,Al Mahhar Holding Company QPSC,QSE,Electronic Technology,Electronic Equipment/Instruments,2.16,2.171,2.136,2.156,-0.04636068613814973,446499013,102938,QAR
MKDM,Mekdam Holding Group Company,QSE,Industrial Services,Engineering & Construction,2.27,2.27,2.244,2.268,0.0,385560021,80220,QAR
MPHC,Mesaieed Petrochemical Holding Company Q.S.C.,QSE,Process Industries,Chemicals: Specialty,1.162,1.171,1.153,1.165,0.43103448275863065,14573282354,10507049,QAR
MRDS,Mazaya Real Estate Development Company,QSE,Finance,Real Estate Development,0.566,0.567,0.564,0.565,0.0,564999963,3072313,QAR
NLCS,Alijarah Holding,QSE,Finance,Real Estate Development,0.664,0.67,0.66,0.663,-0.3007518796992484,329043342,851860,QAR
ORDS,Ooredoo Q.P.S.C,QSE,Communications,Wireless Telecommunications,13.26,13.4,13.21,13.26,0.07547169811320593,42442399353,1407863,QAR
QAMC,Qatar Aluminium Manufacturing Company,QSE,Non-Energy Minerals,Aluminum,1.643,1.664,1.643,1.643,-0.3033980582524207,9196037964,3501764,QAR
QATI,Qatar Insurance Co.,QSE,Finance,Multi-Line Insurance,2.029,2.029,2.006,2.012,-0.788954635108482,6623653854,3280074,QAR
QCFS,Qatar Cinema & Film Distribution Co.,QSE,Consumer Services,Movies/Entertainment,2.479,2.48,2.479,2.48,0.0,155763724,44715,QAR
QEWS,Nebras Energy,QSE,Utilities,Electric Utilities,14.49,14.65,14.31,14.31,0.0,15741000462,178748,QAR
QFBQ,Lesha Bank L.L.C,QSE,Finance,Investment Managers,2.979,3.015,2.884,2.96,-0.33670033670034444,3326400032,6921595,QAR
QFLS,Qatar Fuel-Woqod QSC,QSE,Energy Minerals,Oil Refining/Marketing,14.1,14.19,13.97,14.05,-0.35460992907800665,14019006275,310331,QAR
QGMD,Qatar German For Medical Devices,QSE,Distribution Services,Medical Distributors,1.405,1.405,1.374,1.385,-0.43134435657800185,160660504,3213585,QAR
QGRI,Qatar General Insurance & Reinsurance Company Q.P.S.C.,QSE,Finance,Multi-Line Insurance,1.825,1.825,1.703,1.801,0.11117287381878832,1574245585,55258,QAR
QGTS,Qatar Gas Transport Co.,QSE,Transportation,Marine Shipping,4.26,4.371,4.26,4.295,0.0,23795432893,1716118,QAR
QIBK,Qatar Islamic Bank,QSE,Finance,Major Banks,21.8,21.83,21.66,21.83,-0.09153318077804634,51630062584,564580,QAR
