symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
A,"Agilent Technologies, Inc.",NYSE,Health Technology,Medical Specialties,130.98,131.97,128.62,129.45,-0.8729611762003329,36560814358.8146,415210.0,USD
AA,Alcoa Corporation,NYSE,Non-Energy Minerals,Aluminum,63.505,63.6,62.0501,62.715,-2.25218204488777,16549853643.562035,2015731.0,USD
AAA,Alternative Access First Priority CLO Bond ETF,AMEX,Miscellaneous,Investment Trusts/Mutual Funds,24.94,24.95,24.94,24.95,0.10030090270811867,,248.0,USD
AAAA,Amplius Aggressive Asset Allocation ETF,CBOE,Miscellaneous,Investment Trusts/Mutual Funds,30.73,30.73,30.6201,30.6201,-0.2605854704056283,,2453.0,USD
AAAC,Columbia AAA CLO ETF,AMEX,Miscellaneous,Investment Trusts/Mutual Funds,20.05,20.05,20.05,20.05,0.0,,4.0,USD
AAAD,PGIM AAA CLO Aggregate Duration ETF,AMEX,Miscellaneous,Investment Trusts/Mutual Funds,50.074,50.074,50.074,50.074,0.09815112074186197,,27.0,USD
AAAU,Goldman Sachs Physical Gold ETF Shares,CBOE,Miscellaneous,Investment Trusts/Mutual Funds,42.74,42.795,42.53,42.65,0.09387467730579475,,290167.0,USD
AABB,"Asia Broadband, Inc.",OTC,Finance,Investment Banks/Brokers,0.01334,0.014,0.0131,0.013925,0.17985611510791885,58206675.31474821,879388.0,USD
AABVF,Aberdeen International Inc.,OTC,Finance,Investment Managers,0.0193,0.0193,0.018,0.018,-14.285714285714299,2892533.0399999996,14000.0,USD
AACAY,AAC Technologies Holdings Inc,OTC,Electronic Technology,Electronic Production Equipment,6.3,6.35,6.0,6.03,4.146876457279054,6772218913.943999,6025.0,USD
AACB,Artius II Acquisition Inc.,NASDAQ,Finance,Financial Conglomerates,10.48,10.51,10.48,10.51,0.0952380952380932,290864248.0,303.0,USD
AACBU,Artius II Acquisition Inc.,NASDAQ,Finance,Financial Conglomerates,10.61,10.61,10.61,10.61,-5.013428827215761,290864248.0,403.0,USD
AACG,ATA Creativity Global,NASDAQ,Commercial Services,Miscellaneous Commercial Services,0.979,1.0,0.9669,0.9951,-1.4752475247524777,32114801.0,2156.0,USD
AACI,Armada Acquisition Corp. III,NASDAQ,Finance,Financial Conglomerates,9.98,9.98,9.96,9.96,0.0,338937142.0,389.0,USD
AACIU,Armada Acquisition Corp. III,NASDAQ,Finance,Financial Conglomerates,10.3,10.75,10.05,10.3,2.182539682539689,338937142.0,4666.0,USD
AACO,Abony Acquisition Corp. I,NASDAQ,Finance,Financial Conglomerates,9.91,9.91,9.91,9.91,0.20222446916076411,310794112.0,1008.0,USD
AACOU,Abony Acquisition Corp. I,NASDAQ,Finance,Financial Conglomerates,10.03,10.5,10.03,10.1,0.7984031936127752,310794112.0,2887.0,USD
AACP,Apogee Acquisition Corp,NASDAQ,Finance,Financial Conglomerates,10.0,10.0,9.97,10.0,0.20040080160320214,234700000.0,460049.0,USD
AACPU,Apogee Acquisition Corp,NASDAQ,Finance,Financial Conglomerates,10.3,10.3,10.24,10.27,0.48923679060664316,241036900.0,719.0,USD
AACTF,Aurora Solar Technologies Inc.,OTC,Electronic Technology,Electronic Equipment/Instruments,0.0065,0.0065,0.0065,0.0065,-2.9850746268656794,1304715.0999999999,200100.0,USD
AADR,AdvisorShares Dorsey Wright,NASDAQ,Miscellaneous,Investment Trusts/Mutual Funds,84.46,84.46,83.86,83.915,-0.40353688208413657,,1802.0,USD
AADX,"Applied Aerospace & Defense, Inc.",NYSE,Electronic Technology,Aerospace & Defense,19.73,20.72,19.5,19.5935,-0.9428715874620945,3345463177.3465114,194789.0,USD
AAEQ,Alpha Architect US Equity 2 ETF,NASDAQ,Miscellaneous,Investment Trusts/Mutual Funds,53.55,53.7301,53.55,53.5567,1.5816686518925396,,768.0,USD
AAFRF,Airtel Africa Plc,OTC,Communications,Wireless Telecommunications,4.94,4.94,4.835,4.9,0.40983606557377994,17823041759.78677,27000.0,USD
AAGAF,Silver47 Exploration Corp.,OTC,Non-Energy Minerals,Other Metals/Minerals,0.447185,0.4503,0.4348,0.4503,0.06666666666665932,93933237.438,64941.0,USD
AAGC,All American Gold Corp.,OTC,Non-Energy Minerals,Precious Metals,0.0005,0.000555,0.0005,0.0005,0.0,938637.0,31072542.0,USD
AAGFF,Aftermath Silver Ltd.,OTC,Non-Energy Minerals,Precious Metals,0.5999,0.5999,0.555,0.56,-1.719901719901706,191313437.70000002,116811.0,USD
AAGH,America Great Health,OTC,Health Technology,Pharmaceuticals: Other,0.0002,0.0002,0.0002,0.0002,0.0,4230540.0,50000.0,USD
AAGIY,"AIA Group, Ltd.",OTC,Finance,Multi-Line Insurance,38.38,38.63,38.23,38.25,-1.6456672666495258,102046352415.7924,189465.0,USD
