symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
2POINTZERO,Two Point Zero Group PJSC,ADX,Commercial Services,Miscellaneous Commercial Services,2.29,2.38,2.27,2.35,3.524229074889871,78459436958.0,37411087,AED
ABNIC,Al Buhaira National Insurance Company,ADX,Finance,Multi-Line Insurance,2.99,2.99,2.99,2.99,-0.33333333333332626,747500002.0,183,AED
ABTC,21Shares Bitcoin ETP,NASDAQDUBAI,Miscellaneous,Investment Trusts/Mutual Funds,23.57,23.57,23.57,23.57,8.667588750576298,,0,USD
ADAVIATION,Abu Dhabi Aviation Co.,ADX,Transportation,Other Transportation,5.53,5.58,5.5,5.51,-0.36166365280290164,6065233097.0,44310,AED
ADCB,Abu Dhabi Commercial Bank,ADX,Finance,Major Banks,15.82,15.94,15.46,15.46,-2.1518987341772142,124946170063.0,8232407,AED
ADIB,Abu Dhabi Islamic Bank,ADX,Finance,Regional Banks,26.08,26.18,25.38,26.1,0.15349194167307254,94649918060.0,3992691,AED
ADNH,Abu Dhabi National Hotels Co.,ADX,Consumer Services,Hotels/Resorts/Cruise lines,0.441,0.446,0.441,0.445,0.9070294784580506,5556600183.0,2193106,AED
ADNHC,A D N H Catering plc,ADX,Consumer Services,Restaurants,0.771,0.771,0.76,0.765,-0.6493506493506499,1699235996.0,4308153,AED
ADNIC,Abu Dhabi National Insurance Company,ADX,Finance,Multi-Line Insurance,8.0,8.0,7.95,7.98,1.397712833545112,4485899935.0,30547,AED
ADNOCDIST,Abu Dhabi National Oil Company For Distribution,ADX,Retail Trade,Specialty Stores,4.05,4.12,4.05,4.1,1.4851485148514756,50499999523.0,12084868,AED
ADNOCDRILL,ADNOC Drilling Company PJSC,ADX,Industrial Services,Contract Drilling,5.46,5.54,5.45,5.52,1.0989010989010917,87360000610.0,15370827,AED
ADNOCGAS,ADNOC Gas plc,ADX,Energy Minerals,Integrated Oil,3.72,3.76,3.68,3.72,0.0,285515291571.0,89623733,AED
ADNOCLS,ADNOC Logistics & Services plc,ADX,Transportation,Marine Shipping,5.66,5.88,5.65,5.87,3.8938053097345082,41801520188.0,16452933,AED
ADPORTS,Abu Dhabi Ports Company PJSC,ADX,Transportation,Other Transportation,5.26,5.34,5.24,5.3,0.952380952380949,26711436035.0,2373684,AED
