symbol,description,exchange,sector,industry,open,high,low,Close,Change%,MarketCap,Volume,Currency
A,"Agilent Technologies, Inc.",NYSE,Health Technology,Medical Specialties,139.76,142.235,139.02,141.92,0.5811481218993574,40234382375.39901,1506501.0,USD
AA,Alcoa Corporation,NYSE,Non-Energy Minerals,Aluminum,36.58,36.759,35.64,35.97,-3.124158362510109,9313163246.044168,4394151.0,USD
AABB,"Asia Broadband, Inc.",OTC,Finance,Investment Banks/Brokers,0.0179,0.0187,0.0173,0.0182,1.1111111111111238,71798716.8888889,4611748.0,USD
AABVF,Aberdeen International Inc.,OTC,Finance,Investment Managers,0.0235,0.0235,0.0235,0.0235,6.842464196408271,3764401.214285714,9000.0,USD
AACAF,AAC Technologies Holdings Inc,OTC,Electronic Technology,Electronic Production Equipment,5.15,5.15,5.15,5.15,-10.590277777777768,6106344941.572165,359.0,USD
AACAY,AAC Technologies Holdings Inc,OTC,Electronic Technology,Electronic Production Equipment,5.03,5.03,4.98,4.98,-3.49024243716206,6213998735.76384,1953.0,USD
AACB,Artius II Acquisition Inc.,NASDAQ,Finance,Financial Conglomerates,10.21,10.23,10.21,10.22,0.2944062806673321,297913000.0,4853.0,USD
AACBU,Artius II Acquisition Inc. Units Consist of 1 Sh A + 1 Rt,NASDAQ,Finance,Financial Conglomerates,10.7,10.7,10.65,10.65,1.428571428571432,310447500.0,1892.0,USD
AACG,ATA Creativity Global Sponsored ADR,NASDAQ,Commercial Services,Miscellaneous Commercial Services,1.2328,1.28,1.16,1.17,-3.305785123966945,38612777.0,173397.0,USD
AACI,Armada Acquisition Corp. II,NASDAQ,Finance,Financial Conglomerates,10.45,10.6,10.45,10.48,0.6724303554274763,331063185.9058597,548197.0,USD
AACIU,Armada Acquisition Corp. II Units Cons of 1 Shs A + 1/2 Red Wt,NASDAQ,Finance,Financial Conglomerates,10.92,10.92,10.92,10.92,3.507109004739329,328851886.0,200.0,USD
AACTF,Aurora Solar Technologies Inc.,OTC,Electronic Technology,Electronic Equipment/Instruments,0.01319,0.01319,0.01195,0.01195,11.682242990654217,2398668.5300000003,11920.0,USD
AADR,AdvisorShares Dorsey Wright ADR ETF,NASDAQ,Miscellaneous,Investment Trusts/Mutual Funds,84.82,84.82,83.1901,84.165,-1.3277059702804808,,1912.0,USD
AAFRF,Airtel Africa Plc,OTC,Communications,Wireless Telecommunications,3.07,3.115,3.07,3.115,-5.606060606060594,11359088338.684212,2838.0,USD
AAGAF,Silver47 Exploration Corp.,OTC,Non-Energy Minerals,Other Metals/Minerals,0.7,0.716,0.62,0.63,-10.511363636363631,,757431.0,USD
AAGC,All American Gold Corp.,OTC,Non-Energy Minerals,Precious Metals,0.0007,0.0008,0.0007,0.0007,-6.66666666666667,67645.2,3941806.0,USD
AAGFF,Aftermath Silver Ltd.,OTC,Non-Energy Minerals,Precious Metals,0.57,0.59,0.52,0.545,-6.5909110385548,171572293.76506028,1514983.0,USD
AAGH,America Great Health,OTC,Health Technology,Pharmaceuticals: Other,0.0001,0.0001,0.0001,0.0001,0.0,2115271.0,250000.0,USD
AAGIY,"AIA Group, Ltd.",OTC,Finance,Multi-Line Insurance,35.9701,36.6,35.9301,36.54,0.661157024793394,95122915665.9264,212536.0,USD
AAGR,African Agriculture Holdings Inc.,OTC,Process Industries,Agricultural Commodities/Milling,0.005,0.005,0.005,0.005,0.0,289334.0,100.0,USD
AAIGF,"AIA Group, Ltd.",OTC,Finance,Multi-Line Insurance,9.02,9.1,8.78,8.81,-4.1766369371329155,92274208698.9816,16712.0,USD
AAIRF,American Aires Inc.,OTC,Commercial Services,Miscellaneous Commercial Services,0.066,0.066,0.0635,0.065,-2.694610778443108,6799455.000000001,7685.0,USD
